Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.8920 0.8387 -2.3819 -0.3008 -0.6867 1.7929 1.8791 1.9057 -1.8832 1.0803 2.4952 3.2135 -0.7805 0.1133 2.4637 3.3409 0.3598 0.4195 0.3826 3.2319 -0.1638 0.3593 2.7495 6.0860 7.9157 -1.1108 0.0395 3.9436 12.3829 3.5646
-1.1713 1.6244 2.4277 0.0688 -0.4491 1.1576 2.2115 0.3067 -1.9795 1.1025 2.1862 1.7706 -1.9861 -0.4055 2.0668 3.6385 -0.4972 -0.4914 -0.6597 3.0750 -0.1132 -0.7664 1.4758 3.9964 6.3753 -1.7006 -1.1809 -0.0785 7.6187 0.8364
0.1118 -0.0180 2.8022 -1.6086 -1.3769 -0.0246 0.6344 -0.8178 -1.9489 0.8794 0.6397 0.2381 -2.0825 -0.1989 1.6708 2.0916 0.0281 -0.0754 -0.9419 2.0007 -0.0665 0.1897 0.9095 2.1135 4.5200 1.0023 1.1210 -1.2999 1.0395 -0.7725
0.2941 -2.0787 -0.6265 -2.8920 -2.3650 -0.1034 -1.0051 -0.7548 -1.7233 0.6984 -0.8436 -0.5619 -1.0085 0.3672 1.9200 1.2514 1.0776 1.2404 0.1586 1.6444 -0.0235 1.9301 2.3215 3.3191 5.1785 2.7112 4.4623 2.6720 3.2646 1.8195
1.1225 -2.8700 -1.8460 -1.9181 -2.2755 0.9019 -0.8203 -0.7106 -1.6247 0.7389 -0.9570 -0.0482 -0.7000 0.3185 2.1195 2.4698 0.7478 1.2152 0.6140 2.0389 -0.0685 0.9668 2.7060 4.0233 5.5227 -0.6181 1.8107 2.3180 6.4809 1.5250
2.2916 -1.9988 -0.4953 -0.7185 -1.4295 2.0608 0.9116 -0.2899 -1.7493 0.9292 0.3984 1.7336 -1.4116 -0.3443 1.6487 3.9370 -0.8325 -0.0830 -0.6699 1.4219 -0.2192 -2.2245 0.6031 1.4845 3.3097 -5.4275 -4.5627 -4.0215 1.2413 -2.6374
1.7315 -0.8536 -1.3815 -0.5335 -0.5449 2.3579 1.6524 0.7505 -1.7659 1.1058 1.7283 2.0348 -2.0265 -0.9546 0.8968 2.8557 -2.3825 -1.0479 -2.1469 -0.3875 -0.2637 -4.1175 -1.5474 -1.5317 0.5991 -7.2765 -7.2701 -7.8214 -6.0373 -4.2818
-0.1718 -0.8048 -3.4595 -0.0682 0.1220 1.4697 0.1721 0.5595 -1.4860 1.1607 1.7227 -0.9515 -2.5804 -1.0700 0.4068 -0.6582 -3.5323 -1.4314 -2.3784 -1.6903 -0.0486 -3.8218 -1.7454 -2.2416 -0.5585 -6.7615 -5.7557 -5.9602 -6.1398 -3.3287
-1.5515 -0.9990 -1.2114 0.3122 0.1514 0.6047 -1.3760 -1.5543 -1.2482 0.9326 0.2120 -4.2061 -3.2763 -0.7962 -0.0652 -2.4036 -4.1654 -1.6063 -1.9322 -2.0282 0.1819 -3.0864 -0.5694 -1.1401 0.0121 -5.5026 -3.4324 -2.0023 -0.5114 -2.5505
-1.3336 -0.1488 3.4874 -1.0109 -0.3998 0.7030 -0.8438 -3.2213 -1.3034 0.3749 -2.0620 -4.7130 -3.5089 -0.7269 -1.0276 0.5427 -4.1640 -1.7117 -2.0889 -2.4785 0.1751 -3.0347 0.1188 -0.4840 1.0993 -3.8990 -2.1421 0.4452 3.1072 -1.4366
