Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.1400 1.6197 -0.3848 0.0955 1.9122 -0.8849 1.1221 -1.9925 1.3528 0.3576 -3.0064 -0.4159 -1.6267 -0.1259 -3.0324 -0.3137 -2.0199 -2.0161 -1.1847 -4.0546 6.0873 -2.6142 -0.5383 -2.9221 2.6946 1.6563 0.4308 -1.4451 1.5663 0.7703
0.1453 5.7971 0.3594 -1.9335 1.9210 -1.1390 -0.9776 -2.4103 0.5896 0.6488 -0.9995 0.4319 -3.1211 -0.6478 -1.6156 -1.5792 -4.3743 -2.4836 -1.0326 -5.2827 6.3819 -4.0770 -1.5114 -3.7307 1.1400 -0.4848 -3.1675 -5.2949 -3.3725 -1.2442
-2.6114 1.4781 -4.2453 -1.2974 2.1227 0.3314 -4.0595 -1.0411 0.5949 1.0247 -0.4479 -2.7767 -2.8633 -0.4299 0.1496 -2.6791 -5.0974 -2.1969 -0.5359 -3.0047 5.2179 -4.1805 -2.6851 -3.0994 0.0651 -2.5046 -6.8493 -7.2966 -5.3454 -3.2540
-3.0270 -5.5926 -7.7608 -0.2040 1.6018 0.4498 -3.4708 -0.7212 0.5418 0.5071 -3.2629 -6.7068 -2.0279 -0.0429 -0.5466 -2.1514 -4.6288 -1.7019 -0.9701 -1.0131 3.2552 -3.3080 -2.9999 -3.3959 -0.3335 -1.1561 -6.6078 -5.3162 -2.5180 -2.1884
1.1040 -6.7818 -5.5547 -1.1459 0.4090 -0.0750 -2.1136 -1.5203 0.0729 0.2663 -3.9138 -3.8951 -1.6237 0.2256 -1.1430 -1.5573 -2.1283 -1.4934 -0.9727 -0.7932 -2.8936 -2.2426 -1.5884 -3.4274 -1.5597 0.0740 -2.2961 -1.7611 -0.3853 -0.7684
2.8900 -2.5289 -1.1152 -2.0690 0.0498 0.7864 -2.5048 -1.0439 0.2848 0.9707 -1.3177 3.2481 -0.8552 0.5227 -0.3125 -1.4712 2.3406 -1.1004 0.3527 -0.4965 -8.5511 -0.7296 0.1504 -1.1942 -2.0366 -1.4635 0.0597 -1.4576 -3.4394 -1.9066
1.8315 -0.1949 1.9121 -1.4298 0.8762 2.2055 -1.0808 0.5524 1.0050 1.4538 0.1900 5.7236 0.2056 0.7456 0.1727 0.4125 4.6315 -0.1830 1.6020 0.5785 -6.4150 0.8650 0.7662 1.2733 0.5171 -1.7734 -1.5106 -3.1943 -6.0126 -1.9179
2.4293 -0.5850 2.9223 -0.7648 1.6203 1.7891 2.0936 1.8360 0.7882 1.0472 0.2533 2.7237 0.3638 0.4255 -0.1465 2.9942 2.7071 0.3165 1.5121 0.5460 -0.7399 1.0409 0.3634 1.4404 3.0113 0.1160 -2.4611 -2.9356 -3.8872 0.8745
2.1914 0.6903 0.9532 -0.9004 1.4503 -0.2320 0.9638 2.7735 0.0793 0.4308 1.1143 0.1569 0.1233 -0.2973 -0.4319 1.9144 1.0886 -0.1387 0.7203 -0.9042 0.2670 0.3833 -0.2840 0.7607 1.7482 -0.0196 -1.7115 -2.1174 -2.3819 1.8693
-1.1958 2.0044 -3.1118 -1.3038 0.5932 -1.4292 -4.0505 2.2787 0.0350 -0.0238 0.9305 -0.7369 0.1962 -0.6805 -0.5264 -2.2742 1.5978 -0.8685 0.1287 -1.3771 -1.2653 0.3188 -0.6068 0.9195 -0.9924 -1.0689 -1.0836 -2.2534 -2.7535 0.0349
