Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.8950 -1.0886 0.7879 0.2948 -0.4676 -1.6949 -1.7912 -2.4139 -1.0291 1.0967 -2.2806 -3.4454 -0.9765 0.8308 2.1878 -1.8968 -1.6256 -6.3888 2.6325 7.7475 5.7451 4.9220 2.1947 3.3981 3.4399 0.4069 3.3682 6.1335 4.3371 -1.1677
-1.3679 -1.1624 1.2317 -0.2343 -0.6423 -2.4404 -1.1876 -1.0897 -0.8828 1.5908 -1.3583 -9.4095 0.5272 1.1568 3.3171 0.1918 -1.6204 -5.4215 5.0689 5.2876 4.7508 4.5916 3.2316 4.4842 5.0383 -0.3790 2.9323 2.3026 2.2795 0.6847
-1.2786 -0.6081 -3.2768 1.5688 -0.5537 -0.6889 1.3813 0.1604 -0.7146 2.2107 -0.3627 -10.7466 1.2760 0.9920 3.4716 2.4654 -1.7014 -3.6081 5.3411 3.2301 2.8235 4.1657 4.0207 4.2839 6.8472 -3.5222 0.4375 -1.3178 0.6773 2.5932
-2.0082 -0.6155 -8.5827 -1.3770 -0.4436 0.5217 1.5722 1.0172 -0.4836 2.1708 -0.4800 -5.4332 0.9788 0.7837 2.8773 1.9213 -1.7007 -3.4207 3.4524 2.8742 1.8502 3.7722 2.7124 3.5466 6.5066 -6.5329 -2.1211 0.6235 2.6294 3.2581
-2.5707 -1.3021 -8.8598 -4.3554 -0.5202 -0.2542 0.1251 1.6116 0.1415 1.6571 -0.5395 -0.3683 1.0271 0.9007 2.7834 -0.5381 -0.6331 -4.4376 2.7251 5.8503 2.4728 3.7952 1.0062 3.4611 4.6750 -6.6216 -2.3305 5.0148 5.2373 1.2960
-1.7764 -1.6276 -2.7731 1.4247 -0.7163 -1.2789 -0.6415 1.9641 1.0951 1.5071 -0.1961 -1.2267 2.3494 1.2110 3.3855 -1.3701 1.2380 -4.8427 3.9839 10.2545 2.8970 3.8710 1.3558 3.9708 3.8341 -4.4292 -0.8921 4.0309 3.3493 -2.5322
-0.8948 -1.1964 1.9002 6.5026 -0.9337 -1.6737 -0.6142 1.7565 1.7198 1.9185 -0.6400 -4.8464 4.0151 1.5662 3.9802 1.6431 2.0906 -4.1376 5.4948 11.4836 3.4663 4.0758 3.3091 5.0558 5.6176 -1.5577 0.8316 -0.3691 -0.0318 -2.6752
-1.3228 -0.5985 0.1481 -0.9861 -1.0627 -1.5220 1.8426 1.0304 1.6557 2.4101 -0.6650 -4.8686 4.3815 1.7759 4.3792 5.9227 1.3752 -2.8119 6.4114 8.0199 5.1822 4.7373 4.7425 6.4261 8.7029 0.4836 2.0848 0.2824 1.9711 3.9382
-2.6188 -0.2097 -5.8256 -10.7588 -0.9627 -0.3087 6.5403 0.4414 1.2603 2.7481 1.4755 -0.0065 3.0516 1.5805 4.7406 7.0625 0.4803 -1.5603 6.3484 4.0053 6.0403 5.0997 4.8377 6.7088 9.8579 0.2785 1.9855 6.0679 7.9094 10.7691
-3.3404 -0.0069 -10.9425 -9.1599 -0.6939 0.8316 6.5526 0.6415 1.0845 2.7743 2.5796 4.3077 1.4596 1.1048 4.4378 4.7413 -0.0108 -2.0628 4.5585 3.4948 4.5424 4.6378 3.7969 5.2265 7.9946 -1.4808 0.8018 8.6234 9.6274 9.8459
