Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
0.5145 1.7919 -4.7912 0.2676 -1.4140 -1.6022 -4.1246 -4.4145 0.0483 -2.5352 2.9793 3.5213 -1.4141 -0.4947 0.7309 -3.7381 1.1912 2.4154 -1.1479 0.6851 -0.4665 0.7920 -1.3496 -2.8358 -2.5598 4.9406 2.1529 2.4285 0.3367 4.6586
1.8889 3.8534 -9.9778 1.4069 -1.4364 -6.1728 -0.4635 -3.9045 0.3984 -1.4177 -0.6309 6.3737 -0.6603 0.3763 0.9038 2.2482 0.9393 2.5911 -0.9950 -4.0088 -0.4863 0.3230 -1.0219 -2.2137 -2.3865 3.1517 0.3217 1.2787 0.8743 5.0053
3.3714 1.1512 -5.7329 1.7824 -1.2929 -7.4532 0.4451 -2.0208 0.3463 -0.7052 -0.9018 10.9272 -0.9580 0.4181 0.2464 2.1826 -1.1087 2.2409 -1.4172 -7.2711 -2.0029 -1.3750 -1.4365 -1.9533 -3.9089 0.6624 -2.2295 -2.2791 -3.3668 -0.2674
1.7559 5.5274 -6.7702 1.6635 -1.4348 -7.6452 1.2595 3.0953 0.8305 -1.7360 -3.0126 8.3451 0.6171 0.0692 -1.5062 -1.4127 -0.0776 1.8694 -1.5661 -4.8761 -2.6894 -1.7005 -1.6830 -1.3490 -4.6958 -1.9940 -3.6264 -5.2034 -7.5273 -2.1345
-1.1596 12.4008 -11.8041 2.5160 -1.2831 -6.9430 5.7153 4.5090 1.4531 -2.7934 -7.8415 -1.3914 2.0125 -0.4054 -3.0459 -1.8030 2.7611 2.0278 -1.3432 -2.5646 -0.4744 -1.2519 -1.9419 -0.8918 -3.5030 -1.3192 -2.8410 -4.1771 -6.2814 1.9979
-0.5060 7.6522 -7.6289 2.3090 -0.8296 -2.3030 6.4970 -1.5849 0.6798 -1.2925 -5.1167 -1.9341 -0.7228 -1.3245 -1.4695 0.3565 1.5678 2.0331 -0.8588 -2.5404 1.4301 -2.4872 -2.3795 0.5000 -0.7945 2.7578 -1.7356 -0.7801 -1.2351 6.0700
1.2209 -3.4926 -0.8777 0.3053 -0.8322 3.1297 -1.8595 -6.8964 -0.8113 1.6015 5.2157 0.3862 -4.4111 -1.9618 3.2879 1.1227 -1.1301 1.3973 0.1123 0.1630 -0.0695 -4.6949 -2.2462 3.0778 1.0835 3.7389 -2.3641 0.4216 1.3059 6.8536
0.1600 -6.5866 -0.8911 -0.1860 -1.2770 3.2772 -10.2752 -6.6488 -1.1773 2.8983 10.7255 -5.9367 -3.9811 -1.3474 7.3586 -1.1552 0.7031 1.0434 1.4017 5.0209 -1.9536 -4.9851 -1.3705 4.2033 0.5323 0.7676 -2.9673 -0.5887 -0.5942 6.3472
-0.3714 0.2564 1.0395 0.9843 -1.3322 0.1115 -8.4332 -6.0785 -0.7289 2.1929 8.2485 -3.9459 -1.9544 -0.6719 6.8333 -2.8809 3.2931 1.3363 1.5683 4.5446 -1.3204 -3.7722 -0.8510 2.7683 0.0958 1.0189 -1.5562 -0.6339 -2.7239 6.6969
1.3169 11.1524 8.5918 0.8335 -0.5597 -0.7665 1.4357 -6.4570 -0.6148 0.8698 3.7541 9.3779 -2.6186 -1.2516 2.1562 1.5212 1.1695 1.2249 -0.0377 -0.8582 0.2876 -3.6500 -0.9885 1.7299 2.5476 6.8731 1.3157 1.6970 -0.6537 9.7023
