Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-4.4837 -0.7024 -0.6651 -4.4404 1.7173 -1.6378 1.6263 -4.1084 -2.0580 0.0933 1.6904 -0.9009 -3.8029 -2.0124 2.7656 1.8143 -3.4827 -3.2558 -0.3249 -0.1368 -5.3670 -6.7454 -3.8906 -0.0348 -4.6445 -6.5398 -7.9505 -6.9548 -4.7547 -7.0611
-2.4814 2.0893 1.3054 -3.7835 2.7561 0.1261 4.4872 -4.1771 -1.3971 1.6198 4.1847 0.7500 -4.0810 -0.9955 3.0004 3.3256 -2.1014 -2.8604 0.0922 1.0067 -4.8864 -6.4525 -2.8674 -2.0210 -6.1979 -7.4989 -8.7331 -8.1502 -5.6704 -13.0886
1.8963 2.0996 0.9934 -2.8844 2.9515 0.5146 2.1532 -3.6626 -0.8382 2.0002 2.9353 -1.2281 -4.0367 -1.4848 1.5064 -0.7306 -2.3485 -3.0783 -1.7524 -3.9273 -5.3905 -6.5933 -5.3470 -7.7277 -10.8131 -8.9918 -9.3373 -13.6109 -14.5527 -17.2720
-3.3656 -0.0852 -1.9410 -2.7380 1.5476 -2.9409 -1.5505 -3.4317 -1.1606 0.3249 -3.1271 -3.3045 -4.2900 -3.2658 -2.1568 -6.7659 -3.6003 -3.7980 -5.2417 -12.3845 -5.9861 -6.3341 -9.8584 -14.5225 -16.2454 -7.6351 -9.6276 -13.6024 -18.6668 -16.6812
-13.3481 -1.2264 -3.9669 -2.9921 0.3718 -7.1419 -2.7775 -4.6837 -2.0800 -2.1334 -8.2547 -3.2080 -4.9900 -4.4594 -6.0632 -10.1284 -4.2623 -4.5936 -8.4554 -16.8342 -6.3730 -5.9314 -12.3064 -19.0309 -18.8835 -7.3004 -11.4347 -9.3053 -14.6035 -13.4174
-9.7185 -1.3947 -2.7615 -2.3687 1.6100 -5.0086 -4.4092 -5.5854 -2.0379 -2.8205 -6.9222 -3.7858 -5.2100 -4.5596 -7.7153 -13.5198 -4.8362 -5.5053 -10.9389 -17.1152 -6.8424 -6.0864 -12.1292 -22.3200 -21.0418 -10.0211 -13.0776 -10.3862 -13.2287 -14.3028
6.1125 -1.3709 0.3467 -0.4715 4.0092 2.6568 -6.7808 -3.4145 -0.7455 -1.3841 -1.5386 -5.5333 -4.3489 -4.2061 -6.9550 -17.7551 -5.5640 -6.2560 -12.5544 -18.0284 -6.8200 -6.1479 -12.2069 -24.8148 -23.7991 -9.5956 -10.5447 -14.6895 -17.0206 -17.6685
14.3294 0.5266 2.3994 1.1736 4.8341 5.6538 -5.0868 -0.4641 0.4467 -0.2555 0.5331 -5.5647 -3.0650 -3.4207 -5.3997 -15.3240 -5.3803 -6.0928 -11.9076 -18.4127 -5.6040 -5.2566 -13.1765 -22.6043 -20.7723 -4.9412 -5.9022 -13.2667 -16.9663 -13.8008
7.6486 2.9498 1.4351 0.5464 3.3225 -0.4932 -0.7186 -0.8941 0.7346 -1.1604 -2.8903 -3.7112 -2.5261 -2.6769 -4.5987 -5.9206 -4.3822 -5.1809 -9.0941 -14.7991 -3.8495 -4.1874 -12.5274 -15.1288 -10.6444 -2.3395 -4.4099 -7.2811 -9.6390 -4.8137
-2.3795 2.4577 -0.7299 -1.8845 0.6792 -6.9728 1.0216 -3.6396 0.3859 -2.5252 -5.3419 -2.1056 -3.0231 -2.7415 -4.1391 0.1279 -3.8092 -4.6039 -6.4624 -8.9670 -2.8500 -4.2765 -9.5417 -8.1014 -3.1839 -2.5520 -5.3307 -4.4909 -3.1997 -2.8341
-5.4671 0.9645 -0.6717 -3.2368 -1.0254 -6.4322 1.4956 -4.5922 0.1364 -1.9894 -2.3725 -1.1014 -2.9930 -2.5544 -1.8269 1.1555 -3.5391 -4.2874 -4.4876 -3.3576 -2.2734 -4.8130 -6.1975 -3.6600 -1.6453 -1.2526 -3.7038 -4.5911 -1.7717 -4.9422
-1.7235 1.6980 1.1230 -1.9124 -0.4739 -3.2159 2.6620 -2.8784 0.6613 -0.2418 1.4441 -0.5427 -1.2349 -1.3408 1.7221 2.7454 -2.9554 -3.6951 -2.3979 0.9963 -1.8103 -4.8958 -4.7953 0.5399 1.0184 0.7201 -0.2216 -1.9630 1.0909 0.4087
4.1610 2.8266 2.0490 0.4800 0.8703 -2.1586 1.8546 -0.4748 1.6503 0.5040 2.0336 -1.0774 0.4797 -0.7432 2.6498 2.1954 -2.8057 -3.6046 -1.7059 1.0203 -3.7364 -6.3009 -6.6821 2.2970 3.7009 -1.5588 -1.8287 0.3780 3.9491 6.5242
5.9050 2.6798 1.9937 1.0919 0.6757 -1.9301 0.3654 1.0506 1.9577 0.1050 1.5594 -1.6318 0.2187 -1.5480 0.5707 -2.0443 -3.2921 -4.0029 -2.8794 -2.7274 -7.8385 -9.2953 -9.5331 -0.5040 0.7388 -7.1379 -8.4700 -2.7689 -1.2987 2.7837
0.3396 2.9241 1.4818 -0.9865 -0.3070 -1.6845 2.0162 0.9158 0.9391 -0.3098 1.3506 -0.4381 -1.0524 -2.4213 -0.9300 -2.7050 -3.3304 -3.6670 -3.3735 -3.8489 -8.9933 -10.4474 -8.7992 -2.9280 -2.3332 -8.5458 -10.5174 -5.5887 -7.0170 -0.8774
-4.9907 3.8099 0.4474 -3.6489 0.2206 -0.6555 4.3326 -0.5958 -0.9216 -0.2545 0.8675 1.0471 -2.0887 -2.8000 -0.8573 0.2052 -3.2987 -3.4172 -3.0324 -2.0885 -6.5894 -9.4918 -5.6262 -2.8615 -1.3501 -4.1973 -6.5689 -3.8758 -3.7934 2.7262
-0.8293 3.9812 0.3022 -4.6130 1.9177 3.4138 4.2110 -2.0027 -2.3197 0.3231 1.8042 0.1184 -3.2794 -3.1168 -1.1092 -0.5824 -4.6520 -4.8111 -4.2151 -4.1994 -6.6257 -10.3522 -5.7237 -4.8948 -3.5353 -2.6365 -6.3663 -4.8115 -2.1896 0.5813
7.1616 4.0355 1.6747 -4.0899 2.7662 7.0230 4.2543 -2.6653 -2.2605 0.8758 3.8858 -2.4318 -4.3931 -3.4173 -2.0246 -2.7910 -6.6234 -6.6777 -6.1455 -9.3333 -10.1859 -13.0907 -9.0158 -8.9685 -9.3982 -8.3789 -11.4562 -10.3005 -9.1933 -9.5044
7.0334 5.0638 2.4072 -3.0153 2.3723 4.3108 5.8457 -3.0259 -1.3624 0.6939 3.4150 -3.7659 -4.4037 -3.7566 -2.3186 -0.5735 -7.1473 -7.1794 -6.3182 -10.0238 -12.2329 -13.9217 -10.2611 -10.2663 -10.2665 -14.4304 -14.0887 -13.0395 -13.4699 -11.5946
-0.0305 5.5987 1.3288 -1.7487 1.4998 -1.2707 6.1155 -2.8833 -1.0337 0.3267 0.8021 -3.5568 -3.8608 -4.0433 -1.5313 2.2262 -6.6610 -6.3550 -5.0707 -6.2487 -11.9309 -12.4064 -8.2529 -8.6138 -6.6523 -15.5495 -13.5561 -11.9730 -9.8827 -5.9242
-5.2559 3.5369 -0.1357 -1.5228 0.3558 -2.4563 4.1714 -2.4324 -1.3980 0.4459 0.3340 -3.7717 -4.1985 -3.8149 -0.5761 0.5663 -7.2988 -4.9863 -4.1037 -3.9448 -11.9537 -10.8964 -6.0938 -6.9277 -5.4698 -15.0160 -13.4163 -11.3930 -6.2935 -6.2625
-6.1293 0.0367 -0.8079 -3.0426 -0.6537 -0.0658 2.0783 -2.8131 -1.5406 0.3004 1.9336 -4.6608 -4.9091 -3.3112 -0.4992 -2.7842 -8.2307 -3.7484 -3.7672 -4.5675 -10.8996 -9.3208 -5.4885 -6.1215 -6.4120 -13.2827 -10.8956 -11.1229 -5.8166 -8.7154
-5.2128 -2.6025 -1.3115 -4.7865 -0.9936 0.4500 -0.0607 -3.4804 -1.1678 -0.6561 1.6087 -4.0233 -3.9023 -2.7020 -1.0714 -4.7534 -6.3071 -2.6013 -3.2348 -5.7777 -6.6199 -6.0270 -5.1531 -5.7849 -6.4808 -7.8270 -5.3434 -8.9569 -4.1083 -3.7539
-6.4694 -5.6064 -3.1464 -5.7620 -1.6891 -2.5764 -3.8552 -3.0913 -0.6725 -1.6139 -1.4695 -1.8391 -1.1151 -0.9542 -1.3209 -7.0729 -2.4399 -0.6540 -1.7695 -6.9191 -2.3533 -1.7388 -3.2115 -5.5613 -7.7226 -4.7484 -3.8039 -5.9283 -1.0103 -2.2862
-11.9526 -9.5791 -5.8831 -6.4983 -3.6356 -6.2605 -7.3844 -2.6281 -0.5056 -1.9983 -4.2890 -1.1616 0.7617 1.5638 -1.2482 -10.0286 -1.0883 1.3930 -0.4373 -8.6289 -1.7773 0.9290 -0.3096 -6.2265 -12.1484 -9.6380 -7.8416 -5.9522 -3.5956 -14.5067
-16.1954 -10.0024 -6.4677 -6.5822 -4.9801 -7.0870 -6.5267 -3.0147 -0.9578 -2.1708 -4.8261 -1.9332 0.4880 2.2630 -1.6367 -10.3485 -2.2219 1.3795 -0.9786 -10.3334 -2.8575 1.1644 0.9516 -8.7082 -16.2395 -13.8264 -10.5009 -10.0034 -13.0609 -25.3878
-10.9907 -5.2878 -3.8019 -5.1945 -3.8040 -4.5429 -2.6308 -3.0265 -1.6441 -2.2228 -3.6512 -1.6383 -0.3317 0.7741 -2.6506 -7.6726 -2.0463 -0.4652 -2.5767 -10.9764 -2.7343 0.2777 -0.3206 -11.3634 -16.2123 -10.7119 -9.6169 -12.8853 -19.0587 -21.0402
2.4546 -0.9608 -0.6456 -3.1056 -1.5099 -0.6732 -0.6402 -2.8362 -1.7288 -1.7144 -1.8586 -2.0078 -0.8179 -0.3788 -3.6435 -5.1690 -1.0618 -1.9509 -3.4019 -11.2310 -2.9842 -1.1759 -2.9176 -12.2697 -14.2515 -8.8684 -9.2624 -12.2877 -17.5717 -12.8647
11.5699 0.1861 0.8119 -1.7789 -0.6850 2.0517 0.1032 -3.7764 -0.9077 -0.7326 -0.4359 -4.2163 -0.8852 -0.2438 -3.6486 -3.2173 -1.6633 -2.1322 -3.3166 -11.8782 -4.2361 -2.6292 -4.6555 -11.6598 -13.2523 -11.2363 -9.4061 -11.7720 -15.7608 -12.3086
5.7295 0.6379 0.9794 -1.7228 -1.7018 1.3236 2.7910 -3.9636 0.6831 0.0035 -0.1475 -3.3293 0.7839 0.4729 -2.0138 -0.6054 -1.4349 -0.6887 -1.9745 -10.6302 -3.1325 -1.5996 -2.7803 -9.1779 -10.9810 -8.2311 -5.9264 -8.9023 -13.0250 -11.6329
-8.6532 0.3888 0.5380 -2.2597 -3.1097 -2.4039 4.6061 -1.4340 2.3027 0.1568 -0.2610 1.4985 3.7150 1.6539 0.4526 0.1852 1.4044 2.1304 0.8376 -5.9982 0.2617 2.0101 1.7352 -5.0928 -6.7005 -1.0602 0.4155 0.2721 -4.5147 -5.2403
