Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
4.3895 -0.5943 2.1913 0.6922 0.8502 -0.2767 3.5678 -1.8220 -2.4804 1.5161 1.3261 -1.3782 -3.8961 -0.7521 3.6960 -0.2909 -2.2656 -2.8216 -2.6820 1.5581 -0.4592 -2.6287 -4.8276 0.1664 -2.8659 2.7467 -8.1614 -12.0688 -8.2233 3.2972
-0.8541 -0.3763 1.1056 1.3587 0.5993 0.1839 1.8920 -0.8205 -1.1652 2.2405 0.7228 0.3301 -1.3263 -0.0693 2.7752 0.9397 -1.0612 -1.1385 -2.2120 0.0122 -0.4132 -1.2165 0.8799 -0.2702 0.0610 1.9912 -0.2656 -0.6662 -0.3402 1.1937
-1.7050 0.0466 0.1171 1.4278 0.0816 0.2047 0.3803 0.0667 0.0066 2.3588 0.6871 1.5478 0.5687 0.2881 1.2475 3.0329 -0.0867 -0.3520 -1.7704 -1.1358 0.2643 0.1239 5.4264 -0.7604 4.1397 1.7828 8.3240 11.4168 8.2220 0.0156
1.2938 -0.7083 -0.7387 0.9993 0.0045 0.7284 -0.4032 0.8821 0.5844 1.6715 0.9338 2.4328 1.0659 0.2774 -0.3074 -0.2266 -0.3195 -0.4097 -1.4789 -2.0487 -0.5659 -0.2583 1.8451 -1.5886 1.2084 0.9847 3.1906 5.0135 3.7541 0.3327
2.5948 -2.0955 -1.1554 1.0126 0.3867 1.5817 -0.8222 0.9351 0.5027 0.6651 0.0999 4.1132 1.1632 0.0381 -1.8119 -6.1179 -0.7048 -0.5113 -1.3990 -3.4817 -1.6990 -1.4750 -4.6814 -2.5535 -6.3284 0.6647 -8.4810 -10.4959 -7.6126 0.4126
2.0590 -3.3234 -0.2235 2.0323 0.7875 1.8715 -0.4680 0.5146 0.2827 -0.5445 -1.4667 3.4209 1.0901 -0.3923 -3.1990 -5.9750 -0.6026 -0.7818 -1.5027 -4.2993 -0.7701 -1.7320 -4.5914 -2.9124 -7.0850 1.2436 -8.0629 -10.5413 -8.1114 -0.2375
2.0485 -3.6537 1.1106 3.2161 0.9499 2.0617 0.4811 0.2829 0.3529 -1.7301 -2.0153 -1.1414 0.6017 -0.5979 -3.8114 -0.5707 -0.6840 -0.9966 -1.0907 -3.3408 0.8903 -0.8198 1.5153 -2.3362 0.5742 1.1267 4.2401 5.3140 3.3621 -0.4899
2.2213 -2.2210 1.1639 3.2472 0.8785 1.8609 0.6045 -0.3370 0.4911 -1.8004 -1.3709 -3.8232 0.5598 -0.1938 -3.6100 1.5104 -0.6556 -0.4538 -0.1613 -2.2428 1.2075 0.1190 4.1422 -1.7966 4.3727 0.6164 9.8200 12.6151 8.8081 -0.2803
2.1705 -0.0252 0.6924 2.3324 0.6400 0.0080 -0.1380 -1.0559 0.6006 -0.8375 -1.4001 -1.1071 1.5710 0.2529 -4.0788 -2.0214 0.3054 0.3802 -0.0464 -2.8079 1.2527 0.3156 -0.3608 -2.3903 -1.6794 1.3526 1.2836 0.7714 -0.2107 -0.2033
2.9535 0.3961 1.3477 1.7124 0.2665 -1.9616 -0.1451 -0.5927 0.9591 -0.4856 -2.8976 2.3607 2.7087 0.2559 -5.6723 -5.5037 1.5615 0.7449 -1.2545 -3.6768 2.3399 0.0998 -4.7143 -3.3290 -7.5443 2.5424 -7.7192 -11.8586 -9.6385 0.2911
3.5136 -1.3050 2.7682 1.6572 -0.0847 -1.4836 0.9094 0.4802 1.3277 -1.1241 -4.0707 2.5820 3.3434 0.3678 -6.3637 -4.7147 2.1154 1.1309 -2.3683 -2.9147 3.1456 0.4743 -2.1076 -2.9200 -4.0170 2.7845 -4.2081 -6.8524 -5.2381 1.3773
