Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-11.4307 3.3257 -10.8270 -2.4373 -1.0242 1.9952 -9.2992 -3.2357 7.4179 0.8546 3.6555 0.7033 -5.5208 -0.9728 1.8951 2.3880 -2.5901 -4.1793 -2.0160 1.2384 -1.0249 -3.8450 -2.5670 -1.0335 0.9531 0.7850 -0.3228 -2.0078 -0.7455 3.2115
-12.7002 -7.5767 -31.6699 3.0484 -1.4022 6.1395 -14.6522 0.7727 7.0929 1.1943 8.4862 -4.9147 -6.7768 -2.2828 3.2796 2.6240 -8.9411 -7.6496 -2.6220 1.0699 -7.0801 -7.7329 -4.6806 -2.3842 0.1484 -4.8752 -5.0343 -4.2438 -0.8235 -0.1921
-11.1117 -11.2543 -37.6275 8.0322 0.2163 6.5164 -10.5014 4.5242 5.9564 0.8996 6.7938 -14.7942 -7.2830 -3.5407 1.8788 -0.6771 -13.2006 -9.8091 -4.0550 -1.3415 -12.0662 -9.8968 -5.5395 -4.6285 -2.8870 -5.9194 -4.8372 -5.2455 -2.1647 -5.2200
-4.3668 -4.7797 -23.4919 4.5049 0.4951 0.9205 -1.7315 2.4693 3.9416 -0.1673 0.2288 -21.4285 -6.5448 -3.8362 -0.0089 -2.0820 -10.5903 -7.9600 -3.9238 -1.9261 -7.8978 -7.1427 -3.1743 -4.2159 -3.7168 -1.9470 1.1676 -3.3459 -2.3452 -6.0546
-0.0299 1.6932 -13.6789 -3.9039 -3.1356 -7.6735 0.1433 -0.9803 2.9431 -1.4767 -2.8684 -14.5681 -3.7288 -2.1554 1.0884 1.4614 -3.4692 -2.5385 -0.3941 2.4052 2.4803 0.1522 2.3386 1.5279 2.3074 3.7200 7.5636 2.4539 2.8617 2.1362
-4.4673 2.6100 -14.1556 -3.8824 -5.3703 -10.5469 -1.5188 2.3985 5.4238 -2.5776 -1.9529 2.6577 -0.1781 -0.6919 1.6735 3.0270 1.2752 0.6970 1.2187 4.1716 5.2292 4.3349 4.3743 4.4422 5.7853 5.4311 6.1668 5.0099 5.5941 7.0747
-13.1878 0.7502 -15.3033 6.1413 -2.8379 -5.7818 -0.2303 10.0051 8.7598 -3.4327 -1.7241 11.4358 1.3903 -1.4580 -1.3213 -1.1171 0.3008 -1.3744 -2.1855 -0.8699 -2.1879 0.6880 0.2409 -0.7282 -0.2547 2.5631 -2.1300 -0.4248 0.1032 0.1047
-17.8587 -1.4806 -20.8247 12.2508 -1.0520 -2.0679 -0.1106 14.1899 8.6643 -3.9040 -2.5294 2.3135 1.0341 -2.3487 -3.9186 -5.2042 -2.5166 -4.1820 -4.9700 -4.9126 -7.3869 -4.5456 -3.1052 -5.5748 -6.0453 -0.2052 -7.6443 -7.1503 -5.6957 -6.5993
-14.1853 -3.6321 -24.5551 6.9566 -3.4429 -3.1575 -3.7915 11.9841 6.3347 -3.7793 -1.8852 -11.3470 0.5372 -1.1655 -2.9218 -6.7706 -2.6780 -2.7330 -3.3012 -2.9405 -5.4056 -4.7731 -1.5386 -3.5615 -4.2964 -0.6455 -7.6653 -8.9094 -5.9527 -4.4887
-2.1489 -5.8497 -6.6924 -3.9530 -6.1534 -2.4107 -10.6008 1.2812 4.6616 -3.1293 2.0910 -12.4681 -0.3792 0.9636 -0.4418 -7.0285 -0.4688 2.4292 -0.4653 0.3142 -2.7767 -1.6464 1.0822 0.1816 -1.8223 -0.1086 -6.8929 -6.9349 -4.3283 -2.5251
11.6567 -8.0945 20.4581 -13.5577 -7.1622 1.9899 -20.2585 -13.9172 2.9753 -2.3902 7.6972 0.1739 -1.8554 2.5773 1.1456 -3.6307 2.6113 7.5518 0.8134 1.1671 -0.9916 1.5581 2.5029 0.7867 -2.9751 0.3686 -4.8576 -3.2246 -2.9986 -5.9222
11.5499 -8.3476 21.6283 -14.2538 -7.5488 3.3906 -24.2068 -17.7831 1.2660 -2.2997 8.1109 13.2544 -1.9179 3.3664 0.6787 0.0669 4.4408 8.2576 0.6053 0.0377 1.8873 3.2794 3.1721 -0.7473 -4.5130 0.0020 -0.5378 -0.6430 -1.8754 -8.9352
-8.8600 -5.9650 -7.2993 -1.2025 -5.7753 0.0159 -15.4724 -3.4355 1.3929 -3.2734 0.5805 13.3520 -0.3405 3.0031 -2.5299 -3.8661 1.8492 3.1049 -1.2474 -3.0060 1.2924 1.7860 1.5495 -3.3055 -6.4092 -2.3349 -0.1886 -3.3506 -3.4695 -9.5871
-27.3903 -3.7245 -38.5858 12.2410 -1.9858 -4.0582 -4.1158 12.7776 1.7929 -4.4812 -7.2821 1.4016 0.4035 2.4565 -5.6849 -9.0153 -2.7448 -2.4686 -2.8919 -5.3145 -3.3223 -0.7230 -0.9797 -4.7223 -8.3594 -4.9835 -4.3158 -7.4813 -6.4796 -9.7276
-21.2205 -1.5287 -44.8292 8.1392 -1.2586 -7.5592 0.1442 14.0008 -0.4558 -4.4342 -8.5429 -8.4966 -0.5894 3.8490 -4.4865 -3.8994 -2.7683 -1.7804 -0.7737 -2.1275 -2.8425 1.1310 0.8910 -1.0978 -4.6453 -3.3076 -2.0809 -3.6757 -4.2544 -6.5111
-3.0328 3.1742 -18.5058 -6.5795 -4.9053 -10.5444 1.5471 3.3763 -3.9151 -3.1892 -6.0045 -6.0710 -1.5931 6.4191 -0.4958 3.7397 1.7237 3.8925 3.8146 4.2103 3.6879 6.4709 6.2232 5.4092 3.8013 2.2012 7.3498 5.5625 2.8708 0.5930
2.8240 8.0612 15.7337 -12.8353 -7.7892 -12.0978 2.6819 -6.7025 -5.2427 -2.6786 -5.3891 3.7929 -1.7208 6.7225 0.5511 1.6348 4.7124 7.5585 5.1343 5.5418 5.4381 8.2532 7.5034 6.8062 6.1189 3.8350 8.8346 6.9867 5.0885 3.5642
-4.1253 9.3150 22.7471 -9.0439 -7.0427 -12.5680 0.1814 -9.6787 -3.7186 -3.5488 -7.1733 6.4499 -2.5492 4.2338 -2.1618 -4.2691 2.6074 5.3643 1.6103 0.1578 -0.4071 3.5012 2.6817 1.0280 -1.2792 -1.3837 -2.1663 -1.8327 -1.5937 -1.7197
-11.4605 7.1283 2.1856 -5.1638 -4.6053 -10.8784 -4.7265 -6.1997 -1.3882 -3.7733 -7.5116 -5.3021 -4.9938 2.0567 -4.1878 -5.2866 -3.5833 -0.1382 -2.2376 -5.6160 -5.6357 -3.0857 -2.5759 -5.2436 -8.7487 -7.7503 -11.2631 -9.0603 -8.8449 -7.7133
-11.7488 2.4156 -17.1189 -4.9780 -2.8210 -5.8904 -8.1319 -1.4829 -0.7678 -2.5571 -5.1343 -17.7156 -6.6989 1.8475 -3.5863 -5.1082 -8.7226 -3.3646 -3.1427 -7.2999 -6.5406 -5.1581 -4.1146 -6.7867 -9.0917 -10.5782 -9.5317 -7.9276 -9.0276 -8.2160
-5.4762 -3.2717 -21.5470 -6.5304 -3.1092 -2.5798 -9.6911 -1.3715 -1.4169 -1.9787 -3.7449 -12.9971 -5.6642 2.5925 -2.5278 -7.1482 -7.8193 -1.9235 -2.4759 -6.1524 -6.4133 -2.2918 -3.0845 -4.9624 -5.7098 -9.2382 -4.1538 -4.2239 -4.8304 -6.1784
-2.4273 -5.7375 -18.4280 -7.8345 -5.0367 -4.4504 -12.5919 -6.5658 -0.9966 -2.3111 -3.5628 0.4871 -4.0640 3.1486 -1.8792 -7.5168 -3.5722 0.8882 -1.8247 -4.2507 -7.2172 -0.2161 -2.0138 -2.6951 -3.2109 -5.3490 -3.3413 -3.8354 -2.5339 -4.4016
-8.0225 -3.2759 -13.2725 -8.3618 -5.4587 -5.7351 -17.7471 -11.8111 -0.0509 -1.5658 -0.6955 0.7072 -4.6821 2.0228 -0.9084 -4.4700 -2.9338 0.5883 -1.5222 -2.5668 -8.3301 -2.5024 -2.5095 -1.7467 -2.3836 -3.5186 -6.2423 -5.4441 -3.6845 -2.8107
-11.9979 -0.0297 -9.9945 -7.6632 -2.6806 -3.0629 -17.9942 -11.9850 -0.0634 -0.6366 0.9609 -11.3971 -6.8102 -1.8777 -1.3296 -2.4180 -6.8592 -3.7328 -3.0641 -3.1267 -9.1276 -6.6528 -5.2761 -3.5559 -3.9992 -5.8531 -8.2501 -6.9376 -6.3628 -4.1730
-7.1924 -0.4900 -15.6103 -4.8724 0.4056 -1.7594 -8.9694 -7.5626 0.2976 -1.6141 -4.4693 -17.1613 -8.2251 -5.5664 -4.2235 -4.9416 -10.6230 -8.8225 -6.3057 -6.0738 -8.7133 -9.0768 -8.5221 -6.6649 -7.1152 -8.0651 -7.7894 -8.4630 -8.5484 -9.3386
-2.6307 -2.5138 -24.9415 -1.6795 0.6988 -4.5423 0.0256 -2.6770 1.5215 -3.2313 -10.7933 -12.1948 -8.0080 -5.2752 -6.4227 -9.5627 -11.3173 -10.4920 -7.6688 -7.6902 -6.9188 -8.6999 -9.2435 -7.6157 -8.2266 -7.6534 -6.4637 -8.9256 -8.8100 -12.3399
-5.4947 -0.4055 -22.0960 -0.7602 -0.5685 -7.7662 1.4196 -0.5827 1.2077 -3.8676 -11.1749 -7.8900 -7.0528 -3.4933 -6.3936 -11.3641 -10.5003 -9.0933 -6.5809 -7.4082 -6.3679 -7.2767 -8.4563 -7.4873 -8.4905 -7.8478 -6.3434 -8.4806 -8.2822 -10.6824
-10.3262 4.0246 -9.9809 -0.4749 -0.3989 -7.7167 -0.5371 -1.5558 -1.7548 -3.8996 -9.2016 -7.6447 -6.9580 -4.4585 -6.6275 -8.6114 -10.3704 -8.9059 -6.8207 -9.1518 -9.0694 -7.8427 -9.8098 -9.9897 -12.2747 -10.4086 -8.8034 -11.0588 -10.6961 -11.4486
-13.1457 3.6804 -9.1043 1.8758 1.2175 -3.6979 -3.9941 -2.5717 -5.6732 -3.2205 -6.8813 -5.1719 -7.4910 -6.0050 -7.0203 -3.7137 -9.7598 -10.3885 -8.7155 -12.1296 -11.8943 -9.9028 -12.3106 -13.2651 -16.7653 -12.4777 -13.0217 -16.5184 -15.9205 -17.5323
-13.9004 -0.0194 -16.7693 3.2757 1.6176 0.1264 -9.8874 -3.1197 -8.3905 -2.0824 -2.7611 -3.9170 -7.2801 -4.3072 -5.2781 -0.5893 -7.2028 -9.2917 -8.6162 -11.3158 -10.6947 -9.5823 -11.4993 -12.4898 -15.3353 -10.8312 -14.7768 -17.6839 -17.2655 -19.4972
-5.7118 -0.5593 -9.7698 -0.4433 -0.0641 -1.5166 -10.4911 -7.1205 -8.6436 -2.1591 -1.7565 -9.2158 -6.9199 -1.1395 -3.3222 -1.2031 -5.1978 -4.9466 -6.4015 -7.7542 -7.4045 -7.0531 -7.5300 -8.8707 -10.0529 -6.7514 -12.3672 -12.7564 -11.9286 -12.8714
9.5387 0.0390 3.8862 -5.5864 -1.4309 -5.7921 -3.8951 -11.1387 -6.9321 -3.1440 -5.8019 -10.3670 -7.2402 0.1728 -3.9126 -4.7424 -5.9284 -2.2342 -5.2070 -6.9141 -7.5319 -6.8189 -4.8048 -7.5255 -8.5849 -6.1096 -11.1480 -9.8490 -7.3455 -8.0698
