Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-3.7644 -3.6764 -4.3221 -9.2891 0.2197 3.2698 -9.8868 -7.5812 0.6953 10.1153 -4.5404 1.1638 -0.5563 17.3229 1.5296 -11.3189 -6.9200 5.2409 -5.6170 -2.0118 2.3397 0.3513 0.2420 2.3366 1.8706 -10.5078 -5.4517 -0.3275 -0.7461 -7.4784
-3.5186 1.5894 -8.4918 -10.2342 -0.1764 -0.9186 -2.1437 -9.0294 0.7439 2.4995 -1.3927 -2.0632 -0.2455 2.8772 3.5807 -11.7343 -4.6326 7.5163 -3.7021 -1.9002 -1.7293 0.5085 1.0764 2.2549 2.6357 -6.7741 -3.3249 -9.6267 -2.3595 -7.4907
-3.4076 4.2473 -9.5352 -6.4237 -0.4469 -3.2491 1.4052 -6.9903 0.5622 2.1585 -3.5575 -2.9996 -0.1964 9.4903 1.4016 -11.9703 -3.7364 9.2299 5.0187 -1.3938 -11.5608 0.4067 5.2771 2.7656 1.9286 -3.0960 -2.0771 -7.8989 0.9199 -5.8007
-3.2277 3.7483 -4.1521 0.5146 -1.3941 -3.5481 1.6793 -1.2534 0.5276 -6.0047 -6.5219 -2.7724 0.4672 -0.1178 -5.2617 -10.3675 -1.4670 10.0686 9.9452 -0.2127 -4.3698 0.3069 10.0153 4.0235 0.4000 1.5583 -0.0602 8.1401 6.8959 -2.8792
-2.8591 2.4228 1.2865 3.9093 -2.7183 -3.7984 1.8000 3.1319 0.4823 -17.9588 -5.3581 -1.5110 2.1564 -23.4652 -8.6205 -7.5264 1.0010 10.0768 5.5958 1.5721 10.5865 0.2715 10.0834 5.4296 0.0676 4.3776 2.5454 17.0625 7.6887 -0.6692
-2.2597 1.2689 3.6537 4.6407 -3.2677 -4.5957 2.1047 4.4648 0.1735 -14.0075 -3.6728 -0.1983 4.7046 -13.0880 -7.5777 -8.1901 2.3020 10.1829 -1.0482 2.1823 9.3064 0.0727 5.9192 5.8654 0.6131 2.4829 2.8482 5.3491 1.9989 0.0642
-1.4942 1.1034 5.6860 6.3634 -2.8449 -4.8893 2.9376 5.7492 -0.1529 -2.2310 -4.1012 -0.6564 7.3833 15.5990 -6.0141 -11.0203 4.5675 11.7801 0.0986 1.7341 0.2245 -0.2358 6.5102 5.8054 1.5366 1.3910 2.6059 -5.2068 0.5505 0.2804
-1.1326 0.6279 7.4829 5.1836 -2.4817 -3.8646 3.1552 6.8623 -0.1978 -3.1278 -2.6940 -0.1374 8.0659 9.4773 -2.4741 -7.6841 7.6642 14.3037 5.7748 2.5466 5.4144 -0.3417 14.6056 6.4225 3.7246 4.5376 5.2534 6.4799 8.6507 -1.3489
-1.3354 -1.1319 8.0580 0.2761 -2.9078 -3.0085 1.7583 5.9649 -0.0322 -12.3183 0.1248 3.5299 5.9288 -17.5053 -0.0684 -0.3377 8.4681 15.4695 5.0008 3.7386 17.5435 -0.2226 18.7870 6.3492 5.0187 6.9445 8.2059 22.3461 14.0993 -6.1074
-1.2908 -1.1213 9.0936 -1.4705 -3.4975 -3.8148 1.0645 4.6871 0.1637 -15.0581 -1.2413 5.8840 3.8873 -18.7306 -6.6726 -0.3498 7.1767 14.5402 -1.2496 2.4206 16.3204 -0.1135 10.6586 3.6021 1.9098 7.6963 8.1630 16.2092 6.0990 -9.0529
