Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
1.0031 7.9719 4.9781 5.2140 3.3156 2.1898 2.7976 2.8495 -1.8655 0.5516 0.8261 -0.0424 -0.2612 -1.9634 0.8953 -2.3191 -1.1230 0.5274 -2.4338 -0.9196 -2.5513 -0.4814 -0.7522 -3.0993 1.3888 -3.3592 -4.9942 -4.0499 -10.3467 -7.1152
-0.4648 10.7381 2.5195 5.9538 3.1437 2.6392 1.5128 1.9353 -2.4132 1.6188 -0.8872 -1.2179 -1.1318 -1.7132 1.2932 -0.8564 -2.1426 -0.2772 -1.0530 1.4530 -5.3656 -1.8322 0.3017 -0.1351 4.6004 -9.6727 0.2112 6.0455 2.9331 6.0793
-2.2384 11.9478 1.6852 3.4482 2.0006 3.0721 2.2175 2.5699 -3.1549 1.0162 -1.7890 -1.4581 -2.8252 -2.4328 0.1477 -1.8666 -3.0988 -2.7520 -2.0788 -0.9647 -8.6989 -6.0731 -4.1301 -4.6751 -3.5057 -12.8517 -4.2363 -0.5710 -2.1162 3.0578
-2.1110 9.2837 3.6948 0.9658 0.7463 3.2474 2.3206 3.6145 -3.3584 0.6223 -0.2888 -0.4187 -2.4922 -3.1253 -0.4124 -0.8131 -2.6668 -3.4857 -3.5424 -2.3278 -4.9377 -5.3114 -5.9323 -7.7728 -11.5050 -2.9719 -3.0878 -5.6918 -10.0101 -7.7991
-0.5144 3.2785 6.9515 1.4218 -0.0437 3.1907 4.2012 3.5611 -1.7617 1.6283 1.8434 2.0221 1.3083 -1.1789 1.7290 2.8020 3.1728 0.8979 -0.5577 2.4278 8.3706 5.1908 1.8521 -1.5792 -6.7050 19.8189 21.5839 13.8535 3.1884 -1.4658
1.1681 -0.2558 8.5643 2.6949 -0.3104 4.0254 7.3915 2.0385 -0.2180 3.3298 4.4333 3.6143 3.6504 1.1951 3.5412 4.2388 7.7084 4.1239 2.9076 6.9692 13.1699 10.8914 6.9723 3.2672 2.5443 27.7040 31.8836 25.1870 15.4497 12.1682
2.4884 3.7191 7.3505 2.5062 -0.1296 6.5632 5.4626 0.9064 -1.0069 3.2773 8.6335 3.4111 0.8859 -0.0745 2.1936 3.6427 2.4842 0.7373 0.9898 5.7416 -0.9116 1.1655 -0.3274 -1.5586 4.6001 5.3157 -0.6743 3.3594 5.9481 12.1508
1.9194 9.2173 4.3240 1.9192 -0.0706 7.4606 -0.1596 0.7956 -2.3938 1.4624 9.6715 2.9586 -1.9036 -1.9407 0.3514 2.6338 -3.2752 -1.7380 -1.3254 3.3599 -9.7377 -6.5786 -5.9734 -4.6079 4.8102 -6.6958 -21.8544 -7.5601 3.1224 13.7029
-1.8178 7.2679 1.9537 2.4653 -0.3381 3.4128 -1.6663 0.9941 -1.6335 1.3961 2.9185 1.8083 1.3609 0.7529 0.8972 -0.7591 2.9129 3.9380 2.2583 4.1967 7.9941 4.8699 3.0465 2.7638 9.4726 30.3445 13.8551 20.6370 24.0971 31.5680
-6.0331 0.9701 1.9494 3.0322 -0.4681 -1.5910 -1.2830 3.1753 0.1863 3.5062 -3.9242 -1.7029 7.3749 4.5843 2.0238 -5.7747 12.1581 10.4366 6.2179 4.0179 29.3846 20.3586 13.6336 8.5074 8.7818 74.1689 54.6447 40.9880 32.0461 34.1589
-6.2659 -0.2934 3.1111 1.6250 -0.1774 -1.9993 -3.1205 5.4864 0.0518 3.8890 -1.9530 -5.5945 7.3703 3.4041 1.8310 -5.9759 6.7791 7.4410 3.5015 0.3972 17.0925 14.6058 8.6814 2.6923 -2.7144 46.8199 33.5889 17.0754 6.6326 1.6464
-2.4593 4.5500 3.6355 0.2324 0.9194 0.9376 -0.8576 2.0556 -2.1561 1.9051 3.5113 -6.8843 0.1069 -1.0696 1.4567 0.5372 -10.6994 -2.4963 -2.2499 -1.7768 -22.3406 -9.0892 -5.8055 -6.2141 -12.9296 -40.8579 -28.9797 -20.7882 -18.9015 -27.5482
0.4903 9.0732 2.7851 1.9073 2.3172 3.1801 5.1545 -3.6445 -3.7620 0.9377 4.8472 -6.2027 -5.8025 -3.5036 1.7345 5.2921 -20.6430 -8.7462 -4.3049 -0.6173 -44.4973 -24.2580 -12.9918 -9.0356 -13.9166 -89.7860 -62.1516 -35.0851 -21.5337 -22.4835
-0.4048 8.9451 0.4587 2.9539 1.7559 3.2598 4.2383 -3.7835 -3.5881 1.5855 3.9533 -4.3722 -4.8048 -2.7449 2.3222 3.1995 -14.6063 -6.7740 -1.9221 1.4392 -30.9477 -17.7437 -8.2693 -6.3980 -10.0236 -59.4530 -41.2902 -25.4735 -15.6875 -4.4446
-2.4644 5.4669 -0.9850 -0.0528 -0.5922 1.7355 -0.6645 -1.2656 -2.7285 1.9255 3.0934 -1.2327 -0.7879 -0.4645 3.3914 0.7527 -3.8021 -1.0274 2.2794 4.5294 -8.1711 -2.3718 1.2682 -0.3819 -3.9375 -13.7175 -4.9147 -7.3644 -9.7099 2.5494
-2.6523 2.8755 0.7593 -1.1640 -0.9875 0.7351 1.5674 0.1085 -1.3187 2.4184 2.4690 0.3019 2.1276 2.1517 5.3746 2.2559 0.4671 3.3020 6.5065 9.2050 0.2043 5.5276 8.9436 7.8192 5.4648 -3.0955 9.8337 10.7174 7.8204 8.8112
