Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-4.2349 3.2300 -2.2591 -0.7401 -1.6585 -2.8093 2.0851 -0.6683 -2.7368 0.5021 -0.9526 -4.8656 -3.0485 -2.1433 -0.1789 -0.7569 -1.5119 -2.0767 1.5958 0.7994 -2.3798 -3.3122 -0.5878 -1.4863 0.5923 1.0544 -1.0987 2.8113 2.2907 -2.1649
-3.1007 2.9462 -2.0003 -1.1055 -1.3179 -2.1120 2.7217 -1.1306 -2.5726 0.8293 1.1014 -5.5083 -2.8442 -2.3728 -0.6568 0.1254 -1.5178 -2.4662 0.9078 1.9971 -5.0346 -3.5297 1.3101 -1.6153 1.6720 -0.2893 1.0472 5.5693 5.1990 0.2171
-3.4822 2.0669 -2.0686 -2.3397 -1.0306 -0.5963 2.4438 -2.1196 -2.4773 0.5102 0.6750 -5.2913 -3.3324 -2.6512 -1.0504 -0.2365 -1.4648 -2.7869 0.2542 0.8416 -6.3351 -4.1957 -0.4502 -1.9443 1.7462 -1.5484 -0.2005 3.7614 3.1308 0.1884
-4.1667 1.9798 -1.8787 -3.3150 -0.9145 -0.4396 1.7774 -3.1474 -2.0445 -0.2832 -1.6357 -3.1238 -2.4637 -2.6639 -1.1122 -0.5233 -0.2672 -2.4717 -0.2754 -0.7490 -4.4398 -2.7013 -3.0472 -1.7865 0.9532 -0.6460 -1.6381 1.6126 0.6705 0.8472
-3.0037 3.0163 -1.1311 -2.8942 -1.1520 -0.9488 1.7155 -2.8336 -1.0972 -0.4661 -2.5175 -0.8522 -0.4065 -2.2161 -0.7078 0.9979 2.1503 -1.4328 -0.0941 -0.5145 -0.6294 0.8112 -2.2756 -1.4768 0.7965 2.5729 0.5169 3.8874 2.1981 2.3796
-1.7297 3.5708 -0.5721 -1.1587 -1.5327 -0.1376 1.9029 -1.2906 -0.4991 0.0163 -2.4648 -0.1064 0.4383 -1.6640 -0.2725 2.7266 3.3744 -0.1705 0.6930 0.1074 1.8443 3.1654 1.0641 -1.4098 1.4531 3.3958 3.2575 7.7033 5.1988 2.9680
-2.9636 2.8118 -1.1110 -0.9766 -1.7222 0.8423 1.5782 -1.1543 -1.0996 0.1677 -3.8130 -1.5360 -0.6428 -1.5945 -0.4469 2.4740 1.7411 -0.1216 0.4568 -0.6997 0.4951 1.6365 2.2113 -1.7816 1.3103 -1.5661 1.4705 7.2783 5.2018 2.8048
-5.1520 2.2666 -2.1765 -3.5820 -1.3265 0.6166 1.4077 -2.9265 -2.2500 0.2498 -5.1438 -3.9612 -1.8033 -1.6382 -0.5087 1.5120 0.0182 -1.5851 -0.4851 -1.2342 -2.8199 -2.0503 -0.1728 -2.0989 0.5686 -6.0807 -2.0429 4.1616 3.5200 3.3143
-5.7212 3.0329 -2.7020 -5.8531 -0.4538 0.9463 2.2989 -4.4072 -2.8719 1.1249 -3.8014 -4.6818 -1.8669 -1.0293 0.5600 1.5614 0.6205 -2.9449 0.5326 0.4719 -4.5143 -4.1258 -2.5570 -1.3066 1.1320 -4.2230 -1.7183 3.5119 3.7830 4.5341
-5.1948 3.5911 -2.8494 -5.8381 0.0099 2.2498 3.2849 -5.1332 -3.0030 1.7902 -1.2851 -3.8291 -1.7711 -0.4317 1.7536 1.8428 0.9860 -3.4151 3.0930 2.3237 -4.7149 -4.1189 -2.2938 0.1248 2.2112 -0.6554 0.6834 4.9248 5.2197 4.8742
