Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
4.1965 4.4273 3.6301 -0.0666 0.2823 1.0169 4.1458 1.0051 0.1998 1.4716 2.3961 2.1474 1.7988 0.2651 3.0729 3.2266 0.4574 0.1797 -1.1585 0.1501 1.6653 1.5652 -1.2756 -1.8610 -3.0407 2.1671 -0.2894 3.6275 -5.7862 -3.1486
5.4862 6.0409 4.4118 0.3339 1.4046 3.1261 5.9360 1.0589 0.1754 2.0486 3.8158 3.0997 1.1722 0.1870 3.4579 5.2577 0.4447 -0.2707 -0.7182 2.6032 2.1844 1.0255 -0.8447 -1.3160 -1.9962 4.2783 -0.3934 -0.3745 -4.7399 -1.6538
9.3577 5.3963 4.5722 0.9933 2.0463 4.0147 4.4031 1.5300 -0.2880 2.0858 4.9426 1.5619 0.7387 -0.5212 2.8147 3.1804 -0.4174 -1.4406 -1.4078 1.8538 -0.0279 -0.9699 -2.5025 -2.3058 -2.8153 -0.9936 -3.3934 -6.9221 -8.2056 -2.2111
8.0568 3.1541 3.2543 1.0787 1.5685 3.1700 1.4429 1.1134 -0.4320 1.0630 3.6508 -0.6370 0.7488 -1.2629 1.5835 -1.1185 -1.6971 -2.1127 -2.4179 -1.1805 -2.7350 -2.4829 -4.2957 -4.1881 -5.0820 -5.8385 -6.1232 -7.6605 -10.9303 -5.3627
-1.0758 1.7861 0.8556 0.2304 0.5662 0.7096 0.5134 -0.8032 -0.2330 -0.0908 0.3732 -1.2580 0.3632 -1.5412 0.7445 -2.7492 -2.6110 -2.0317 -2.7779 -2.5764 -3.0539 -2.4980 -4.6851 -5.0459 -5.2033 -3.5393 -5.1726 -4.1344 -7.5541 -5.5091
-3.0861 2.9610 0.2569 -0.2245 0.4258 -1.3677 1.4760 -2.3144 -0.3592 -0.5506 -1.2090 -1.7752 -0.4769 -1.4390 0.3838 -0.4856 -3.2821 -2.2681 -2.9754 -1.6630 -3.7550 -3.2149 -4.8318 -5.0852 -3.0388 -4.2701 -5.7266 -3.9100 -3.5073 -2.1716
4.8106 3.9697 1.5634 0.0891 0.6578 -1.8236 1.1433 -2.4013 -0.7091 -0.8928 -0.2427 -3.4205 -1.1163 -1.5737 0.0463 0.6732 -3.9693 -2.7276 -3.5366 -1.1804 -6.1891 -5.1295 -5.3196 -5.5098 -2.3730 -11.0821 -9.0557 -5.9542 -4.6383 -0.6607
5.7701 1.5262 1.9568 0.4915 -0.0482 -1.6887 -1.0059 -1.7709 -0.3483 -1.2892 0.8036 -3.7491 -0.8835 -1.6723 -0.0534 -2.6714 -3.5588 -1.8132 -3.5195 -2.4246 -6.1327 -4.8454 -4.6435 -5.8390 -4.8913 -11.0341 -7.8033 -4.7767 -7.3843 -3.6062
-1.3178 -0.8500 1.7595 1.1480 -0.9045 -1.7499 -1.2364 -0.5509 0.4579 -1.3142 1.0178 -1.6225 0.2261 -1.2010 0.2008 -5.2183 -1.9383 -0.0131 -2.6690 -3.7287 -3.5304 -2.1798 -2.7814 -5.3838 -7.2135 -4.1063 -3.3537 -2.1018 -7.6562 -7.4496
-1.5615 1.8045 3.2425 2.0078 -0.5961 -1.6365 2.2664 1.2161 0.5405 -1.3451 1.2598 0.6225 1.4166 -0.8215 0.2060 -1.6171 -0.7758 0.6326 -2.2091 -3.3553 -3.0675 -0.9761 -1.4415 -4.9065 -6.0662 -3.7191 -4.3688 -2.2186 -7.5023 -7.9954
6.0577 6.7867 5.6190 2.3584 0.4672 -0.6746 6.1027 2.5706 0.3409 -1.3947 1.9303 1.8075 2.1077 -0.8418 -0.0827 3.8122 -0.3120 0.4324 -2.3727 -2.2044 -3.9945 -1.5953 -1.2486 -5.2716 -3.6135 -8.2466 -8.8422 -4.7482 -8.9726 -6.4899
11.9611 8.5361 6.4931 2.1940 1.3615 1.1524 6.7082 2.8161 0.8062 -0.7855 2.6542 2.4139 2.3124 -0.5374 -0.1374 4.6944 0.2765 0.6095 -2.2431 -2.4211 -2.7201 -1.5595 -2.0401 -6.0984 -3.4144 -6.4711 -9.1990 -7.3746 -10.2133 -5.9063
13.6728 7.0066 5.6721 1.7940 1.7469 2.3751 4.9155 2.1945 1.0734 -0.0486 2.8730 2.0724 2.1126 -0.1237 -0.0591 2.2926 0.4107 0.4245 -1.8674 -3.9961 -0.9335 -1.2498 -3.5280 -6.5752 -5.0677 -0.6287 -6.3679 -8.0418 -9.8787 -6.0958
13.6182 5.8494 4.9459 1.2726 1.7430 2.1313 3.8275 1.0841 0.4520 -0.0353 2.7711 0.6969 1.5501 -0.3753 -0.0991 0.9399 -0.5386 -0.8292 -2.2098 -5.0480 -1.8052 -2.3611 -4.8680 -7.0799 -6.8061 0.6172 -5.3511 -6.6712 -10.1041 -6.7950
12.0069 6.3394 4.8148 0.9460 1.8294 1.8671 4.0473 -0.5758 -0.1651 -0.0976 2.6949 -0.9485 0.6707 -0.9099 0.0415 0.6692 -1.9801 -2.1960 -3.3985 -4.7859 -4.4075 -4.3158 -5.6572 -8.4971 -8.3925 -2.1700 -6.6358 -6.7859 -12.6115 -8.8824
6.2209 6.6617 3.7808 0.5680 2.0194 2.4360 4.0365 -2.3428 -0.5567 0.4738 2.2763 -1.9263 -0.2766 -1.1339 0.7216 -0.6341 -3.1159 -2.7178 -4.1671 -3.8165 -5.7593 -5.2911 -6.0414 -9.7855 -9.1566 -3.7051 -7.4584 -9.0110 -15.1533 -10.9073
-2.2847 6.3373 2.3392 -0.1654 1.8899 3.2525 4.3299 -2.5716 -1.2312 1.2980 2.3504 -0.9403 -0.7236 -1.2855 2.1154 -2.0834 -3.1804 -2.4734 -3.4683 -2.6455 -4.6869 -4.6482 -5.7448 -8.9117 -7.5725 -3.2503 -6.6531 -8.6677 -14.1999 -9.6477
-2.9713 7.2019 3.3540 -0.2704 1.8886 4.8744 6.0488 -0.5821 -1.4998 2.0348 4.6398 1.6389 -0.3374 -1.4676 3.9651 -1.2402 -1.7910 -1.8978 -1.9498 -1.3698 -2.5483 -3.2249 -4.6306 -6.1676 -3.8881 -2.6254 -5.3914 -4.9113 -9.5638 -4.7954
7.6572 9.2188 6.4361 0.7235 2.4923 7.3281 7.6132 1.7764 -0.6176 2.6359 7.8612 3.4281 0.7076 -1.1398 5.3421 1.7677 0.1443 -0.9436 -0.5333 0.5276 -0.4374 -1.5379 -2.8367 -3.3360 -0.0520 -0.5868 -3.3573 -1.3546 -4.4268 0.4392
15.1610 10.3545 7.8965 1.2930 2.7930 8.1416 8.3710 2.8474 0.5657 2.7379 8.8632 3.6704 1.6718 -0.2459 5.5622 5.3868 0.8997 0.3204 0.8338 3.3849 1.2254 0.0945 -0.7194 -0.9759 2.8926 2.7806 -0.1371 1.0080 -1.4119 3.6256
10.4376 9.8261 6.5282 0.4801 2.0868 6.1601 9.3616 3.0428 1.0075 2.0633 7.2146 2.9422 1.4716 0.2622 4.8913 8.3169 -0.4691 0.7491 1.7119 5.2657 0.2819 -0.0881 0.3593 0.6194 4.5497 1.2432 0.4422 1.5297 -1.1927 4.1705
2.9279 7.2599 3.9009 -0.5373 1.1483 3.4582 8.0777 2.7894 0.8733 1.0310 4.8347 1.1399 0.3249 0.0464 4.0806 7.1996 -2.5979 -0.1016 1.4325 3.9999 -3.3464 -2.4197 -0.2491 0.7740 3.9009 -5.7317 -3.2096 -1.0390 -3.5159 1.8906
