Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
6.7351 2.6686 0.0762 -3.0416 1.8881 3.3663 -2.3381 2.7253 -0.8883 1.9033 -0.5361 2.6954 0.0802 -8.7387 -1.2570 -5.5517 -3.9502 0.0229 -6.7592 -2.5208 -1.8478 -5.8179 -6.7873 -7.6634 -10.6219 -5.4873 -8.4508 -11.9066 -13.2456 -16.3101
9.5699 4.3627 3.2737 -1.2436 3.4465 2.8963 4.9291 5.3665 0.0872 -0.8388 -1.6501 5.5902 0.4952 -9.6893 -7.8985 -0.1141 -3.9291 1.4137 -7.7926 -0.5060 1.5096 -4.3567 -6.5474 -7.1420 -9.1094 0.1880 -4.5210 -8.1684 -10.8501 -13.1998
6.7714 3.3183 3.0752 -0.9115 4.1674 1.2895 5.5043 4.9342 0.8756 -3.4530 -9.5310 5.0139 -0.8112 -10.3968 -9.6232 -1.5377 -4.1539 0.3365 -7.5708 -0.4056 2.9912 -3.4527 -5.2687 -4.8585 -5.2438 4.3112 -0.1837 -0.7986 -3.4693 -4.3402
2.8905 0.7643 -0.5854 -3.6127 3.6677 1.7086 -2.5536 1.3174 0.2933 -3.1552 -8.2436 1.2657 -3.4983 -10.5995 -6.5024 -7.5965 -5.6075 -2.6217 -7.6212 -4.9707 1.1247 -4.4966 -5.7784 -5.3037 -5.1160 1.2895 3.1338 1.8490 -0.2437 -3.3826
2.9616 -0.4046 -2.1244 -6.2891 3.0480 4.0370 -8.7017 -2.3081 -1.4277 -1.6263 -2.6279 -2.2641 -5.8453 -10.4059 -5.2853 -11.5707 -7.6293 -5.6253 -8.8506 -8.6331 -2.7212 -6.9585 -8.2218 -7.5564 -8.4147 -6.5055 1.0408 -3.0754 -4.3695 -11.1175
5.2329 -0.1412 -0.1565 -5.8202 2.7030 3.2518 -5.6247 -2.0743 -2.3744 -1.1316 -8.3561 -4.2920 -5.7935 -8.9479 -6.2747 -11.3094 -7.9027 -6.7892 -9.2765 -7.1524 -5.1693 -8.0312 -8.8035 -7.3989 -9.3430 -10.2163 -4.4316 -7.4364 -7.9389 -13.2179
5.8598 0.1865 1.6981 -3.8659 2.3233 -0.2984 1.3048 2.6732 -1.4865 -1.3557 -16.9642 -5.0109 -2.8178 -5.8388 -5.6987 -8.1968 -5.5057 -4.8103 -7.4876 -4.1531 -3.8114 -5.4082 -5.7247 -4.1818 -6.0558 -6.6982 -2.4271 -3.3395 -4.0087 -5.8577
5.0765 0.3995 2.1234 -3.3114 2.1493 -0.7184 3.5500 6.6271 0.0439 -0.8497 -12.0814 -4.1920 0.1374 -3.1814 -3.5019 -4.6465 -2.7345 -1.4200 -5.1640 -3.0500 -0.5104 -1.4160 -1.8341 -0.6765 -2.8077 -1.7784 7.0034 3.8371 2.2745 -1.2532
5.2902 0.9603 2.7651 -3.4441 2.2361 1.4244 2.5339 5.0429 0.9006 -0.1307 -1.0054 -1.1712 0.6123 -2.3715 -3.2355 -1.4826 -1.5527 0.6947 -4.1283 -2.2374 1.8539 0.4024 -0.0139 1.2336 -1.8015 0.6231 11.4265 5.4714 3.7276 -3.2483
6.0323 1.4053 3.0599 -2.8435 1.6055 1.0713 2.7684 0.3104 0.9302 -0.7319 0.7967 2.8382 0.3748 -2.3778 -4.7990 0.2129 -1.4916 1.3283 -3.9026 -1.1964 2.4267 0.1335 -0.6503 1.3589 -1.3323 0.5219 6.9095 2.9643 2.0647 -3.8178
5.5460 0.8986 1.8877 -3.0240 -0.0012 -0.3619 0.9864 -2.4661 -0.1492 -1.0433 -3.5081 3.7540 0.0619 -3.0614 -1.4448 -2.4191 -2.8594 0.4565 -3.4373 -1.4421 0.1377 -1.6132 -3.2136 0.0100 -1.9784 -3.1432 -2.1173 -0.7293 -0.4865 -2.9806
4.7136 0.2432 1.2980 -4.9775 -1.0660 0.4900 -3.6161 -1.5995 -2.2704 0.6260 -4.2084 0.9576 -2.5805 -4.5549 5.9158 -6.6045 -6.0879 -2.0305 -3.4299 -1.2743 -3.9997 -4.7407 -6.1513 -1.4349 -3.8951 -7.6030 -12.6911 -5.8169 -4.4698 -4.7233
4.5467 0.8007 2.7674 -6.4435 -0.7761 1.4788 -3.6947 0.9287 -3.8415 1.1499 -3.5267 -0.5324 -5.7731 -4.6740 5.4840 -5.3748 -8.3982 -3.8367 -4.7532 1.5775 -5.4125 -6.4722 -7.2397 -1.0578 -3.1153 -7.5538 -17.8003 -7.5366 -5.5665 -4.6647
3.7556 1.6477 4.2021 -6.1067 -0.5265 0.9833 0.5981 1.7461 -3.9217 -1.1752 -4.4129 0.9983 -5.6258 -2.7192 -1.7325 -0.8617 -7.7789 -3.6128 -5.9354 3.9862 -3.6661 -5.1587 -6.4524 0.2681 -0.0528 -5.6066 -12.3034 -3.6906 -2.0918 -2.2285
1.9428 1.2599 3.4204 -5.4710 -1.2223 0.6463 1.1066 -0.0574 -3.5794 -2.6265 -2.5609 2.5972 -3.6544 -1.5548 -3.2228 -0.4682 -6.3587 -2.9732 -5.8213 1.4447 -2.8237 -3.5056 -5.5830 -0.7442 -0.7776 -5.9861 -5.2904 -2.7751 -1.9278 -4.2050
0.4966 0.5444 1.5978 -4.7562 -1.6545 -0.0397 -0.0768 -0.9752 -3.3444 -2.0198 0.9315 3.7125 -2.8055 -2.1115 -1.4327 -2.0628 -5.4743 -2.3715 -5.6967 -3.7946 -2.8449 -3.0055 -4.8959 -3.8079 -5.1740 -5.2863 -4.5451 -7.5996 -7.2668 -9.0836
-0.5837 0.5610 1.3882 -3.4453 -1.3406 -2.2252 3.6358 1.0073 -2.6998 -2.2100 -0.7529 4.0203 -2.3321 -1.9590 -4.3655 -0.6533 -4.1138 -1.3477 -5.7001 -5.8420 -1.9627 -2.5443 -3.8008 -4.5948 -6.7406 -2.5536 -3.6395 -8.8908 -9.0355 -9.0819
-1.9077 0.3471 1.8603 -3.6127 -1.4736 -3.7858 5.8823 1.9559 -2.2395 -3.1445 -6.0893 1.1652 -1.8561 -0.6578 -6.3946 -0.2938 -3.0574 -1.4780 -4.8624 -4.5891 -2.5356 -2.8804 -3.8015 -2.4614 -4.1146 -3.1530 -0.3954 -4.6812 -4.5898 -4.5438
-1.8781 -0.2171 -0.0361 -5.5929 -1.7033 -2.6981 0.3995 -0.0916 -2.6775 -2.9486 -6.6392 -2.7826 -2.4910 -0.2855 -4.0952 -3.7578 -3.8302 -3.3917 -4.5052 -3.7343 -5.5705 -4.9763 -6.5159 -1.5687 -2.4749 -7.4514 -3.2767 -3.9153 -2.4715 -2.9496
0.3592 0.1555 -2.3282 -5.8568 -0.7375 -0.5207 -3.9982 -0.7348 -3.3480 -2.0451 -1.5317 -2.5927 -3.6047 -1.1935 -2.9771 -5.2591 -5.4375 -4.6110 -5.3472 -3.2331 -7.3840 -6.6522 -9.8955 -2.9866 -4.4658 -10.1541 -11.0773 -7.8474 -5.8918 -6.9023
1.8033 0.7921 -1.1754 -4.1481 0.0764 -0.2151 -1.2961 0.5501 -3.8001 -1.3387 1.0758 1.1423 -3.9440 -2.0964 -2.9716 -3.1446 -6.1706 -3.4883 -5.6556 -2.2717 -5.6831 -5.6842 -10.6135 -3.7713 -6.4589 -8.4371 -12.0189 -8.1281 -7.5618 -9.4380
0.0584 -0.0805 0.4431 -4.1669 -0.8844 -2.3749 0.3346 -1.0371 -4.2687 -1.0963 -2.7143 2.6431 -3.7136 -2.6712 -2.1929 -3.3357 -5.9231 -1.8250 -5.4753 -3.5345 -2.5695 -3.2089 -8.9436 -3.7551 -5.7646 -4.0732 -5.1286 -3.8612 -4.5828 -5.9247
-2.2106 -1.5771 -1.4193 -5.9216 -1.9624 -4.7181 -2.5976 -3.5169 -4.5391 -1.8205 -6.5211 -0.0717 -3.7310 -2.9704 -3.7297 -6.1530 -5.4025 -1.8549 -6.1971 -7.4591 -0.8342 -1.8116 -7.5809 -5.0433 -5.4891 -1.1740 -0.7541 -3.1067 -3.8566 -3.4561
-1.1376 -1.5418 -3.0012 -5.8019 -1.5097 -5.2000 -2.1154 -1.7770 -4.2290 -3.4334 -3.5820 -2.4277 -3.8853 -2.3695 -7.9597 -4.8561 -4.8051 -2.4432 -7.1039 -9.4391 -0.3545 -1.6613 -7.2764 -6.1760 -7.2309 -0.1549 -1.5792 -6.2234 -7.0493 -6.4533
2.1752 -0.6474 -1.1872 -3.4154 -0.8893 -4.3293 2.4340 -0.0026 -3.5021 -4.7807 2.4670 -1.2341 -2.9920 -0.9619 -10.8779 0.2545 -3.8220 -1.3097 -6.9483 -6.9427 0.4049 -0.8504 -6.9558 -4.2420 -7.2520 2.8262 -1.0907 -4.6337 -6.1762 -7.2162
3.2556 -1.0106 -0.3579 -2.2153 -1.3452 -3.3815 1.6618 -2.5396 -3.1882 -4.4852 2.5166 0.1472 -1.2371 -0.2190 -8.5713 0.2122 -2.8958 0.1346 -5.6841 -3.1014 0.5048 0.3313 -6.7687 -0.8256 -4.8995 5.1413 1.5573 1.4367 -0.4305 -3.4389
1.4393 -1.7450 -2.3240 -3.5419 -1.7217 -2.1465 -4.0054 -3.5031 -3.7012 -2.7161 -3.8467 -0.6015 -0.6411 -0.8443 -2.4210 -6.2026 -3.2115 -0.3610 -4.2909 -1.7944 -1.6035 -0.4191 -7.8792 -0.0264 -4.4108 0.0721 -0.2867 1.7779 0.6704 -3.4400
0.2569 -0.6359 -2.5142 -4.5906 -0.9270 -0.8074 -3.6735 0.4910 -3.6915 -1.9754 -8.7902 0.0209 -1.2087 -1.3078 -0.9411 -8.9151 -4.4267 -0.9105 -4.1931 -2.8046 -3.8303 -2.4274 -9.3533 -1.9069 -5.7715 -7.7661 -7.8612 -4.3031 -4.1034 -6.7587
0.7197 1.0529 -0.4296 -3.6207 0.1809 -0.9872 3.0412 3.8424 -2.1985 -3.5955 -9.0534 3.4220 -0.9625 -0.2752 -5.5617 -4.0898 -4.4914 0.5440 -4.3189 -2.4402 -3.1776 -2.1592 -8.1895 -2.2558 -4.5305 -9.1433 -11.6202 -5.3884 -4.7368 -5.1543
0.6712 0.7112 -0.0358 -2.6568 0.4216 -2.1652 5.5077 3.8014 -1.2550 -5.0224 -5.9912 5.6743 -0.2777 0.9133 -5.1737 0.7315 -2.9142 2.1641 -2.0388 0.9818 -0.2171 1.2503 -3.7912 0.8798 -0.9466 -6.4928 -3.5674 1.9334 1.2615 -1.9793
-0.6231 -1.0072 -1.5089 -3.2890 -0.2147 -2.2256 0.8992 2.0023 -2.7777 -4.1226 0.5082 4.3723 -1.0745 0.5771 1.9697 1.2605 -1.7879 2.0133 0.8620 4.0374 2.1128 4.3348 0.3713 4.3707 0.7755 -5.5402 8.8112 7.7092 5.3945 -4.7869
