Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.9008 2.3337 -8.2235 16.1563 0.8430 6.6097 6.9542 -6.5907 -1.4694 1.5508 9.5942 -5.5407 -6.9551 -1.4899 2.7698 13.3077 -10.6642 -4.3234 0.2502 9.5677 -11.3234 -7.7119 -5.8924 -1.2765 -6.8296 -13.4934 -5.2328 -10.5212 -13.0729 -20.6520
-4.1720 0.8960 -19.3524 10.2451 0.6907 2.7248 -3.7269 -7.0862 -1.2813 1.4226 5.6346 -2.7858 -5.5092 -1.2702 1.9199 7.3553 -6.9622 -3.3315 1.8049 12.5120 -8.9145 -4.4018 -2.8525 1.0887 -1.1116 -10.0908 -0.9719 -5.4208 -6.6452 -14.4055
-4.8934 0.3803 -22.9051 2.0730 0.1788 0.6236 -4.7316 -5.6054 -0.2917 1.2414 3.1858 -3.9110 -2.0086 -0.4462 0.9527 -1.6066 -1.2623 -1.0165 2.6770 8.9827 -7.0691 -0.4049 0.7735 2.6530 1.8149 -5.9909 4.6456 8.1273 6.7170 -1.9577
-2.3409 -0.4106 -7.9267 0.6737 -0.3342 -0.0740 -2.1345 -2.7427 0.2477 0.3774 1.7270 -4.9670 1.1831 0.5711 0.9276 -3.7735 1.7943 2.0797 4.2995 7.9353 -5.8492 2.5914 3.2310 4.0257 1.2399 -4.8227 7.5799 13.3331 10.7739 0.6346
2.0159 -1.4871 12.5154 3.7175 -0.5789 -2.2805 -7.9938 1.1356 0.5589 -0.6875 -2.0457 -3.4018 3.5423 1.1139 0.8897 -0.6443 3.0759 5.3197 5.8347 10.5855 -3.3202 5.8131 4.6174 5.7391 1.7585 -3.9807 9.3758 8.0052 5.3688 -4.0182
2.3456 -1.3672 13.6697 2.3161 -0.8381 -3.6810 -11.3993 3.5038 1.3033 -0.6024 -3.3290 -2.3339 5.6580 1.6092 1.2625 5.6423 5.3064 7.4298 5.3606 9.1049 -0.6615 9.5657 5.8343 5.9683 3.0696 -2.1740 9.9136 2.0481 0.2006 -4.4647
-1.0880 -0.7926 1.0025 1.6517 -1.1264 -2.9949 -4.8131 3.4039 2.1715 0.1177 0.5455 -1.7742 6.9839 2.1909 2.6228 9.2076 7.4775 8.1829 4.1250 6.5626 0.2453 11.4279 6.2555 4.4498 3.1169 -1.9749 7.8721 1.9155 0.1608 -1.6888
-1.8828 -1.6414 -3.4656 13.7715 -1.0043 -3.5208 -1.8470 4.4299 2.9581 0.0784 2.4144 3.8884 6.5939 1.9632 2.8284 0.9527 8.5069 8.5700 3.4102 8.9490 0.7448 10.2401 4.8140 3.2821 3.1706 -2.9711 6.0891 6.0696 4.2736 -1.6182
0.4979 -2.3919 -0.4486 29.4015 -0.5473 -4.9596 -4.3639 7.2047 3.6179 -0.3975 0.1247 11.5813 5.5855 0.9865 0.8634 -8.8265 9.5308 8.8494 2.0674 9.8334 2.1294 8.1455 2.4891 2.8916 3.4765 -2.2540 6.7682 7.5460 6.6372 -2.7076
1.6967 -0.9696 0.8234 26.7684 -0.3566 -3.5878 -0.3127 6.9902 3.4040 -0.0670 0.8568 9.5594 5.7568 0.5282 -0.3350 -4.2982 9.9525 7.9867 0.4800 4.3700 3.4179 7.0046 1.6024 2.3351 2.6389 -0.0459 6.9585 2.1836 2.4572 -2.3849
