Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-2.3138 7.9299 6.6824 3.8010 -0.2870 3.5789 5.3305 5.5464 -1.3492 0.1303 6.3031 2.9434 1.8926 0.2396 2.9900 4.7623 1.5054 0.3311 3.2444 3.9791 0.2771 0.5940 3.3599 4.2728 2.1724 3.2910 3.4983 2.8536 2.5281 8.4624
0.9780 8.3683 12.2419 2.2234 -0.5541 1.3769 7.1633 6.1751 -0.9983 0.9757 6.9347 -1.1673 1.9777 0.1110 4.9483 7.7066 2.0015 1.5541 3.9868 4.7030 0.5351 2.6549 4.1514 7.0238 6.2083 5.6996 5.3556 6.2902 7.3001 9.1321
5.8445 4.8254 6.9071 1.3345 -1.1066 0.2362 6.3310 5.3715 -0.7059 1.8470 10.3944 0.4523 1.6219 -0.1441 5.5666 9.8822 1.4533 1.9408 3.7441 5.0092 1.7991 3.2770 4.0173 7.8116 9.5485 5.9543 4.2577 6.3572 10.0857 8.7313
6.2374 1.5314 -0.1876 4.6621 -1.8199 0.8245 4.1655 4.4925 -0.6017 2.2087 11.2176 5.4531 2.1368 0.2192 4.8354 8.6761 1.7532 2.0198 2.5303 4.1271 2.4293 3.0004 3.2673 5.3797 7.5378 4.8857 3.0044 4.2359 7.7767 7.4867
2.4589 2.4470 -0.6525 8.1895 -2.0675 0.3119 3.0905 5.4084 0.1057 1.3677 8.1454 6.4691 3.8941 0.9702 3.0928 5.7265 3.4660 2.3503 0.4951 1.2741 1.8306 2.9135 2.2838 1.6833 2.7869 4.5115 3.9133 3.7495 3.5845 6.7909
0.2204 4.1855 1.1618 7.8524 -1.8862 -0.6380 2.6520 6.1919 0.8700 0.0518 6.0760 4.6485 5.0206 1.1074 0.8794 4.2148 4.2783 2.3396 -1.3626 -2.5351 2.3793 2.9828 1.4662 -1.1099 0.0224 6.6728 5.9385 5.5441 2.2739 6.9970
0.5435 2.9614 -0.4805 5.0870 -1.7180 0.9696 1.2618 4.5432 0.4368 0.1652 5.5946 5.3367 3.9700 0.8511 -0.1643 3.5948 2.9671 1.8370 -1.4121 -4.0701 4.2928 2.5830 1.6817 -2.3415 -1.3537 9.1548 7.0376 6.8627 2.7173 6.0856
0.5337 0.8275 -4.1295 1.1167 -1.5943 1.9984 -0.4448 2.2457 -0.9003 1.3819 3.0515 8.3567 0.8075 0.8371 0.5358 1.1443 -0.2499 0.8499 0.2006 -1.8977 3.4133 0.4236 2.4128 -2.2309 -3.6820 5.6408 5.0798 5.0017 1.0308 3.0835
0.9687 -0.2245 -4.1729 -3.3514 -1.6723 -1.5037 -0.2978 1.1154 -2.2090 1.7243 -0.3076 9.4602 -3.8907 0.9206 1.2099 -2.3646 -5.6075 -1.3778 1.6610 0.4964 -2.1019 -4.1380 1.9306 -1.3963 -5.9099 -3.1520 -0.0968 0.6653 -1.6713 0.5914
2.3228 -0.8473 1.3765 -4.7659 -2.1373 -5.1266 1.4407 -0.7816 -3.3700 0.9681 -0.9246 6.2092 -8.4909 0.9541 0.7782 -3.7031 -11.7698 -4.2911 2.2656 -0.3144 -8.3737 -8.8119 0.4811 -0.5531 -6.4853 -8.5788 -5.1202 -3.1908 -2.8499 -0.0305
