Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
6.1233 11.0877 7.0413 3.8431 3.9001 3.6552 8.4921 4.6027 -0.1191 -0.4204 -0.3243 4.2256 -0.9810 -1.2808 -3.8633 2.2319 3.4244 -1.9109 4.8232 3.7334 -6.3593 -0.2161 -6.1531 4.0004 13.2694 0.1747 1.4711 -8.2596 2.7358 14.8211
6.1925 8.4660 4.9164 9.4181 4.2934 3.6738 6.4731 4.9421 -0.5482 7.1627 -1.4136 2.5255 -1.6786 16.1066 -0.7036 0.2090 3.0456 -1.7390 4.3201 3.1225 -4.6556 -0.5963 -2.4808 4.4951 9.5031 -1.5240 2.0460 -1.6046 8.5090 16.2745
5.4493 7.8806 4.5413 8.5212 3.3328 3.2274 5.7840 3.8360 -0.7176 -1.6334 -1.8911 1.7955 -2.7371 0.7229 -4.8472 0.7334 0.8576 -1.3603 -0.1263 3.7611 5.7702 -0.7739 5.0374 5.0671 7.4584 3.6305 5.6011 18.9530 17.1057 15.5153
2.5465 7.1888 4.1189 2.6503 0.8299 1.4254 5.0410 1.7494 -0.8481 -9.0935 -3.3058 1.3759 -2.6011 -10.3866 -10.1505 0.4157 -2.1764 -0.8850 -2.6719 4.2302 2.1726 -0.9190 4.8967 6.1254 9.1337 7.9992 5.6980 20.5784 15.6258 10.7958
-0.9114 3.9372 1.8138 -0.2621 -1.2925 -0.5375 3.1870 -0.3547 -1.0067 -1.5412 -4.6938 0.7859 -2.4543 7.6015 -8.4268 -0.9642 -4.9205 -0.9979 -0.1846 3.9570 -11.4922 -1.0885 -2.4332 6.7839 11.4748 1.6301 -1.2433 -1.4324 5.9250 6.2510
-2.8355 0.5518 -0.7676 0.3333 -2.2069 -1.2980 1.6276 -1.2974 -1.0206 3.1307 -3.1578 0.7782 -3.3545 13.9738 -2.6854 -0.7865 -6.4278 -1.2256 3.8586 4.5117 -13.1760 -1.0882 -5.4632 6.4713 11.3963 -7.8938 -7.7818 -14.8642 1.3603 3.9846
-3.8636 -0.2801 -2.2046 -2.6015 -3.0669 -1.4867 1.3974 -1.8086 -0.8680 -7.0691 0.2997 1.4097 -3.8928 -13.8027 0.2971 1.2242 -5.8055 -0.3824 5.3665 5.9208 -2.3365 -0.8453 -0.0726 5.9075 9.5381 -7.8575 -7.4097 -1.0086 6.5557 5.0241
-5.3543 -0.9686 -3.4026 -8.6850 -4.3705 -2.2460 0.8597 -3.1717 -0.5621 -12.5613 1.3989 1.3197 -3.1750 -28.4318 1.2131 2.4217 -3.6358 1.0757 4.6418 6.1621 1.7451 -0.4848 4.9604 5.3765 7.1165 -3.2744 -3.8670 16.0630 11.0596 8.8811
-6.5276 -4.0044 -5.3583 -9.6843 -5.1809 -3.1302 -1.3636 -4.4197 0.0070 -1.0853 0.0192 0.1186 -1.7627 -2.7056 3.9953 1.4734 -1.1912 1.8238 3.6578 5.0396 -3.0987 -0.0155 3.0419 4.4638 4.4736 -3.2678 -1.7947 10.5773 7.1642 9.7509
-6.5790 -6.5688 -8.0314 -6.1628 -5.2433 -3.3960 -3.5814 -4.9405 0.6355 9.2544 -0.6780 -0.6723 -0.2311 21.6443 6.3388 0.2634 1.7428 1.9136 2.3906 3.9645 -1.0678 0.5376 -0.8853 3.4493 3.4363 -3.8270 -1.1451 -4.9638 1.4160 4.4649
-7.0406 -6.3332 -10.2743 -7.1741 -5.6163 -3.6765 -4.1153 -6.4076 0.7780 7.0134 -1.2752 -0.5245 0.4667 19.5402 3.6073 0.1966 5.0437 2.1910 0.8186 3.0906 8.6411 0.7921 -0.2272 2.7640 4.9377 -2.1518 -1.3848 -6.6394 1.3194 -2.3245
-8.4662 -6.0403 -10.1913 -11.8208 -6.3606 -4.1483 -3.9761 -8.1160 0.3848 5.4973 -2.9804 -0.9152 -0.1050 18.7400 0.0937 -0.1434 6.5108 2.9261 1.1880 2.3150 10.5563 0.4876 3.7050 2.3308 6.2506 -2.8943 -1.8366 3.3835 4.5297 -6.2755
-8.8441 -7.4672 -8.1669 -11.7694 -6.1996 -3.8262 -4.2779 -7.3982 -0.0251 11.6045 -2.9113 -2.1620 -0.3794 30.1730 3.3680 -1.5252 5.5492 3.8872 4.0881 2.3982 2.5484 -0.0182 5.9972 2.4609 5.5013 -3.1642 -0.4721 8.6920 5.6986 -8.9621
-7.7320 -8.2912 -6.8330 -9.0415 -5.1284 -3.1587 -4.3192 -5.8680 -0.2553 14.7783 -0.1761 -2.6978 0.6408 31.9886 9.6392 -2.3238 4.8892 4.2980 6.1397 2.7822 -0.2104 -0.3197 5.2106 2.7936 3.7891 2.4123 2.8450 4.4109 3.4403 -13.2216
-5.9256 -6.9163 -5.8430 -7.6678 -4.0109 -3.1890 -2.9957 -4.9858 -0.4566 9.3204 2.3338 -2.1080 1.6683 16.6969 11.0149 -1.8959 5.9178 3.2637 4.5438 1.5764 7.9583 -0.4689 2.8432 1.1463 1.2296 5.9086 3.7611 -3.6202 -0.1113 -15.2580
-2.5962 -4.1015 -2.8789 -1.7500 -2.5953 -2.9412 -0.5657 -1.1102 -0.5458 0.3493 3.4742 -1.7473 2.0949 -3.8137 8.4524 -2.0115 6.9775 1.2397 -0.2918 -1.4222 13.8616 -0.5600 0.0362 -3.1956 -2.6710 0.3493 -0.5637 -8.7978 -2.8350 -9.8265
1.0239 -0.8102 0.2651 6.7013 -1.1777 -1.9926 1.2007 4.4605 -0.4182 -6.1423 2.4350 -2.1579 2.7370 -15.3412 3.5815 -3.7009 7.4025 -0.2635 -5.7129 -4.4016 8.9119 -0.4743 -1.9384 -7.4342 -6.3478 -3.4524 -4.2764 -6.0466 -5.0236 -3.2973
1.7394 1.7303 0.8222 5.9026 -0.8655 -1.8517 1.5703 4.6423 -0.3042 -6.2584 -1.1886 -2.0834 3.3879 -8.7895 -3.7945 -4.9259 8.4943 -0.5938 -8.2279 -5.7489 3.5360 -0.3041 -2.2340 -9.0310 -8.0930 3.2247 -1.9732 2.0119 -7.6694 -4.0066
1.2456 2.8433 1.1965 -0.4752 -0.5742 -2.0246 2.3180 1.1995 -0.4244 -1.9648 -2.7094 -0.5844 3.5896 3.3341 -6.8489 -3.2634 10.5417 -0.1902 -7.3217 -5.0960 8.2580 -0.3784 -2.8402 -8.1389 -7.4228 10.5080 1.0764 4.0353 -9.9851 -6.3360
3.3296 4.1678 4.2622 -0.5805 1.3160 -0.5327 4.3234 1.6458 -0.5854 -1.8188 0.6355 1.3253 4.2623 -1.7461 -3.2130 0.0754 12.1714 0.4867 -6.0425 -3.2656 17.1367 -0.5991 -4.5352 -5.6803 -4.3337 10.5609 1.2473 -2.1690 -9.7076 -3.9857
6.1235 6.1147 7.5503 3.4151 3.1684 1.5510 5.4950 4.9058 -0.4350 -5.6519 2.8914 2.1155 5.3262 -12.5604 -2.4469 1.8833 12.2909 1.0741 -5.4923 -1.5821 19.1815 -0.5042 -3.4763 -2.5456 -0.1581 9.8365 4.0907 -3.8809 -5.2604 -1.7052
5.9441 5.1918 7.7134 6.6185 2.7391 1.8877 4.3189 5.9139 -0.0827 -0.7623 0.0017 1.5785 4.4996 4.5984 -5.8942 1.8287 11.2767 1.2286 -3.9993 -0.6448 13.0313 -0.1840 1.3040 -0.0134 2.9080 11.8555 9.1823 4.6019 2.0773 -0.9654
3.6830 0.9979 5.7634 9.3226 0.9880 1.0333 2.4020 4.8126 -0.0415 10.9311 -2.9147 0.6583 1.4301 34.3619 -4.6538 2.1684 10.1491 0.9735 -2.3762 0.0434 5.8505 -0.1833 3.8577 1.5739 4.4357 12.3762 9.0078 11.9838 7.5454 3.3747
2.0570 -0.5406 4.0802 7.3246 -0.0230 0.5943 2.1457 3.5089 -0.4583 8.3966 -0.9085 0.6096 -0.6273 23.0672 0.3625 3.6736 8.9715 0.6156 -2.7217 1.5646 3.9653 -0.5357 1.5928 3.4413 5.8687 11.1261 5.1915 9.2120 7.7401 9.4105
1.5930 2.6488 2.1354 0.4165 -0.0021 0.4235 3.6617 2.3124 -0.9451 -8.1629 3.6231 2.0347 -0.2368 -20.7530 2.7577 5.1229 6.9457 0.6665 -2.2605 4.5205 5.4658 -0.8661 0.6813 6.3834 8.1681 9.8976 4.6114 2.9584 6.8088 11.0710
1.4140 5.2293 -0.9801 -2.7664 0.3971 0.1615 4.9638 1.2376 -1.1661 -13.5730 5.6556 4.0791 -0.1408 -33.7051 3.6227 5.8890 3.7545 1.0341 2.5255 7.6816 3.7370 -1.0657 5.0118 9.2925 10.8528 6.4327 5.3919 3.5482 10.2657 9.9279
1.2607 4.5844 -2.7277 -0.3647 0.7891 0.4114 4.9291 0.9749 -1.0588 -4.3458 4.5214 5.3278 -1.5828 -11.4889 4.9419 6.3437 0.2382 0.4202 7.1357 9.0453 -1.9685 -1.0850 9.6024 10.7729 13.1372 0.3040 3.2525 10.4157 15.1793 10.5854
1.5777 2.9894 -0.9826 2.7302 0.8805 1.0077 4.4453 2.5208 -0.6709 0.8715 4.1466 5.3635 -2.0457 -1.1194 6.9268 6.5609 -1.3396 -0.7725 5.7161 8.9491 -4.8519 -0.7388 9.6271 11.4686 14.6660 -3.2508 2.1486 14.3995 15.9719 11.6538
1.8836 1.1974 0.9722 4.5222 0.5272 0.8259 4.3599 4.1399 -0.2871 0.9117 6.6475 4.8282 -0.4240 -4.7359 11.9262 6.7789 0.7661 -0.0050 2.3894 9.5931 -0.1088 -0.2851 7.1264 12.9579 15.1235 -0.0551 6.1202 10.4349 13.6678 11.2541
1.1950 -0.6719 -0.2897 3.4633 -0.0860 -0.0671 4.3796 2.8300 -0.4089 4.6810 9.1397 4.4230 1.2917 1.3530 17.4628 7.7329 4.4274 2.1009 2.4665 11.1649 7.5521 -0.4073 6.4130 14.6487 14.6651 6.1326 10.0850 4.5246 12.6328 13.4890
0.4399 -1.0766 -1.6866 0.9373 -0.6912 -0.4089 4.1155 1.2361 -1.0657 6.0265 8.8744 4.2402 2.1314 6.6968 16.2091 9.0498 6.3613 2.9784 2.1450 11.8323 10.1315 -1.1501 8.9456 14.7734 14.3558 8.5106 9.9442 5.8967 14.6553 18.3979
0.7368 -0.1454 0.3123 1.2775 -1.0905 -0.0439 3.6712 3.2321 -1.5742 0.3080 6.7100 4.0771 3.0750 0.5422 8.9561 9.3576 7.3301 3.8812 0.6358 11.3135 8.1107 -1.6928 12.8276 13.9182 14.6840 8.1292 10.5782 14.7896 18.0774 16.7160
0.8493 0.7282 2.5310 2.0707 -1.1649 0.0519 3.2876 5.2573 -1.5794 -2.8694 4.1757 4.0875 4.1993 -1.2985 3.8354 8.3964 8.9201 5.6554 3.4277 10.6448 7.9145 -1.6303 13.7959 13.5514 14.7487 9.1486 13.3007 20.4407 18.2956 7.9493
0.7103 1.5616 1.8622 1.8036 -0.6795 -0.0170 3.1246 4.7414 -1.6070 -1.0144 2.4038 4.4009 4.6253 2.4533 3.4929 7.0641 9.4502 5.1030 6.1232 9.3335 10.7777 -1.5270 9.4908 12.4728 13.5681 7.8948 11.9134 13.5118 12.0540 4.7937
2.0220 2.2819 0.9928 6.0596 0.3057 0.4384 2.9463 5.9447 -1.8916 -3.2793 2.5602 4.2583 4.2650 -5.7101 4.2033 5.5262 7.7632 2.1873 1.8243 6.2880 12.2232 -1.7080 3.8448 8.8189 10.5505 2.1602 7.0740 0.7519 3.3828 7.9029
