Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.7442 -0.0675 -0.3187 -0.4971 -0.8331 0.0965 3.5902 0.1353 0.1306 1.3379 2.2508 -1.2191 -0.8765 -1.1304 1.3842 -1.9872 -2.6339 -1.6046 -0.2509 1.6088 -1.6336 -2.7507 -1.8623 0.1204 1.4287 -2.0063 -3.2431 -3.2215 -1.4817 -0.5657
-3.1435 -0.2008 -0.1487 -0.5414 -1.2709 -0.0449 2.2335 0.3274 -0.1033 0.6475 0.0171 -1.5912 -0.6573 -0.7352 0.3962 -0.9455 -1.8435 -1.6084 -0.2870 1.6869 -0.8241 -1.8698 -1.7401 0.2198 0.8978 -1.3815 -2.5285 -3.5396 -1.8057 -1.8492
-2.9352 -0.8341 1.1007 0.0406 -1.0838 0.4529 1.1511 0.2300 -0.2619 -0.1853 -0.5160 -2.1100 -1.1196 -1.0504 -1.4634 -0.6846 -2.0318 -2.0005 -0.9604 0.4456 -1.1541 -1.8540 -2.1244 -0.7078 -0.6736 -3.1249 -3.1627 -4.6367 -3.3929 -3.5041
-1.9872 -0.6112 2.2856 0.7130 -0.4116 1.2433 1.4761 0.0465 -0.0634 -0.1624 0.8600 -1.1295 -1.3260 -1.3286 -2.2599 -0.4601 -1.9642 -1.4059 -0.9356 -0.1788 -0.7779 -1.3724 -1.5206 -0.7209 -0.6758 -3.8543 -2.5230 -3.5934 -2.9774 -3.3549
-1.7902 -0.4167 2.5565 1.1651 0.4181 1.1827 2.0491 -0.3686 0.1547 0.2937 1.4200 -0.2673 -1.0208 -0.9546 -1.4464 0.5527 -0.5241 -0.2200 -0.0692 1.0214 1.0794 0.4168 0.2065 0.9831 1.3286 -2.2271 0.0961 -0.5446 0.1089 -1.4358
-1.6970 -0.6016 1.7565 0.8584 0.7466 0.3951 1.7748 -0.5604 0.0607 0.4286 1.2311 0.4184 -0.2199 -0.3687 -0.1713 1.5547 1.6331 1.2772 0.8730 2.8893 3.6025 2.7147 2.3111 3.0592 3.7420 0.3387 3.0344 2.1039 3.6926 1.2676
-0.7579 -0.2833 0.8876 0.1423 0.3289 0.2572 1.6586 -0.0378 -0.0719 0.6411 1.8937 2.4321 1.0137 0.2279 1.1262 1.6408 3.3502 3.4517 1.7950 4.3735 5.9253 4.4922 4.3024 4.4782 5.5812 3.0691 5.4487 3.4085 5.7083 3.6509
0.0510 0.4469 1.0094 -0.0832 -0.1165 0.9775 2.4050 1.1067 -0.0032 1.1713 2.5526 4.6663 1.7758 0.8940 2.3190 1.9154 4.2275 4.3460 2.6591 5.2899 7.5046 5.5341 5.4628 5.3604 6.8463 5.4983 7.1411 4.1805 6.1297 4.7070
-0.0950 1.1814 1.9065 0.1570 -0.0601 1.8523 2.3231 2.2865 0.2661 1.2687 2.2269 5.1989 1.8564 1.1305 2.5063 2.7794 4.6157 3.2293 2.9510 5.3408 8.2408 6.0408 5.5390 5.7586 7.5097 6.3126 7.5887 5.2551 6.6165 4.8461
-0.0487 1.7794 2.7690 0.4558 0.1278 2.6332 0.7785 3.0645 0.7819 0.7898 2.2303 4.4779 2.7408 0.7491 1.8890 2.3996 4.7963 3.9529 2.6699 4.8053 8.4336 6.0700 5.3990 5.6334 7.3625 5.7624 7.2667 6.5219 7.9585 5.4123
