Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
0.5363 3.7647 -5.6962 1.2938 0.4543 -0.7165 -1.8747 14.0737 0.0959 -1.6754 1.8814 5.4163 -2.4254 -10.1632 -2.4069 -1.5240 2.7114 0.4003 -2.8323 -0.8768 3.6620 2.7496 0.7828 -0.7985 -2.6180 1.1996 6.9331 3.4210 6.4252 3.2049
3.1150 4.2520 6.0693 -0.3151 1.8801 -1.2957 4.6215 3.0496 -0.1046 -1.4092 -2.1889 3.3905 -3.3829 -9.9438 -2.9105 -5.6835 0.8863 -0.4950 -2.2564 -1.5458 1.1721 1.1968 0.9928 -1.5711 -4.1962 2.4401 5.7475 3.5917 5.7572 3.3132
5.3015 7.9170 9.5298 -1.7476 2.7076 -1.0601 8.4015 -5.8682 0.3464 -1.2612 -3.3378 10.5399 -3.0164 -8.4436 -2.5999 -5.8394 2.1132 -0.0892 -0.9472 -0.6064 -0.4252 0.2914 2.3539 -0.9772 -2.0515 3.6106 5.1719 4.4708 6.9078 5.1884
2.8336 13.2480 6.1072 -0.5795 2.1533 -1.0369 9.0973 -1.0478 0.9850 -1.9046 -4.2977 14.7763 -2.1381 -8.1275 -3.4295 -3.7379 2.0755 0.3254 -1.1083 -1.2594 -1.4500 -0.5094 1.9763 -1.4021 -0.0809 0.9580 3.8996 3.2344 6.6359 3.9080
-1.9058 14.2140 -0.4604 -0.3123 0.6854 -2.0587 8.3281 2.0650 0.5318 -2.5039 -6.8999 -0.9975 -1.8406 -8.1823 -4.7204 -3.9933 2.7225 0.3799 -1.6574 -2.3374 -1.6838 0.2358 0.9304 -2.2970 -0.3120 -1.1272 2.9177 2.1063 5.5537 0.3089
-0.6913 4.9114 -6.2855 -2.8217 -0.1152 -2.8971 5.2781 -4.9713 -0.6393 -1.7096 -6.1755 -19.8136 -1.9267 -7.0638 -2.8959 -5.0369 5.7492 0.5648 -0.7108 0.0894 -1.8039 1.9282 1.3435 -1.4334 0.0825 -0.9179 2.8929 3.7652 6.6586 0.4881
5.2964 -8.0868 -5.3384 -3.8495 0.5440 -1.2138 0.7620 -7.1395 -1.1080 0.0539 -0.1323 -15.5834 -2.3569 -6.8774 0.5468 -3.6732 4.4683 0.0132 0.1039 2.9502 -3.9497 0.3860 0.7809 -1.0255 0.9425 -2.2774 1.2963 3.0754 6.0931 2.5096
5.1597 -11.1566 -3.5080 -1.4611 1.4131 2.1662 -2.4119 1.2100 -0.5596 0.9390 4.1953 -0.8770 -3.4008 -8.3742 0.9688 -4.0573 -2.3446 -1.4369 -0.8262 1.5463 -7.0626 -4.3343 -1.8714 -3.2681 -1.1708 -5.0663 -2.0015 -2.6809 0.6443 -0.0219
-2.9360 -3.3922 -12.0214 0.8702 1.1443 2.8604 -4.5748 7.6552 0.4786 -0.4596 2.4271 -4.8637 -3.2376 -8.3127 -0.8342 -10.0693 -3.4787 -1.7372 -1.8741 -1.9037 -7.7440 -6.1102 -3.0238 -5.3785 -5.4837 -6.4860 -3.2142 -6.8148 -4.3622 -5.2542
-8.1902 4.5829 -18.8089 1.1561 0.5840 0.1003 -5.4512 5.8968 1.1677 -3.3453 -0.8717 -16.7318 -1.8712 -6.5474 -1.2893 -15.4687 2.0569 -1.0738 -2.0489 -3.5276 -7.2455 -4.1115 -2.3248 -5.4659 -7.8049 -7.6939 -2.4778 -6.3755 -5.1467 -6.9998
-5.4978 7.1900 -7.8894 0.2007 1.0806 -1.4500 -2.0517 -0.7644 0.5587 -5.1104 -1.9817 -9.7136 -3.7777 -6.5944 -1.0389 -12.9880 1.1556 -2.0668 -2.2698 -3.1544 -8.3799 -4.1653 -3.1448 -5.1676 -7.2134 -9.3875 -2.7175 -5.7967 -4.3933 -5.0416
-1.9381 6.4470 3.8129 -1.6551 1.5934 0.1662 2.5485 -8.2045 -0.8726 -4.5996 -1.9493 4.7036 -8.3681 -7.8572 -1.8359 -5.8060 -5.4629 -3.5200 -1.8234 -1.5884 -8.1307 -5.8266 -4.0810 -4.1705 -5.5670 -7.9080 -1.6022 -4.6287 -2.4014 -2.4800
-2.1629 5.6765 -1.9619 -3.1667 0.4044 1.4002 2.0895 -9.4727 -1.3298 -3.4333 -1.0302 5.9084 -8.4470 -7.4290 -2.6471 -1.9977 -4.8319 -2.2602 0.0799 -0.1427 -3.9884 -3.7070 -1.9922 -1.5234 -3.6364 -2.6781 2.9131 -0.1906 1.9707 0.2409
-2.2700 7.0526 -8.9586 -2.2736 -1.1733 0.0247 -0.0111 -1.4544 -0.2645 -3.0284 0.1363 -0.3029 -3.5634 -6.6369 -3.1836 -3.6757 2.4202 0.2961 1.2392 -0.9811 0.3611 0.5309 0.3807 -0.0513 -2.0598 0.7593 6.3235 3.2659 4.8165 2.6242
0.0259 8.2977 -1.9809 0.0184 -0.2969 -0.8876 2.8822 5.5881 1.0208 -2.5706 -0.8208 -7.8462 -0.3488 -7.3785 -4.6312 -6.1251 7.4266 1.1846 0.1401 -3.3051 3.1174 2.2796 -0.0021 -1.4549 -1.9876 0.8602 6.6818 3.1154 3.9028 2.5461
2.1196 4.0260 6.0348 0.9300 2.6526 2.0632 6.7819 2.6508 1.3072 -1.2162 -1.9332 -14.4443 -0.6432 -8.3600 -6.2844 -5.6370 8.1000 0.3934 -1.7438 -4.3274 5.0593 1.8762 -1.4516 -3.4148 -3.2679 2.3127 6.9654 2.7203 2.5063 0.3040
