TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.01000214,20,-0.01755724,0.2359154,-0.03193812,-0.01662259,-0.003551994,0.03242818,-1.009714,-12.05923,9.170349,1107.61,350.2834,63.82715988,63.95272446,-0.1232382,0.5059334,0.8537234,-1.899394,1.396235,-39.60894,1081.214,351.9787,-0.1211602,0.4992886,0.8579003,30.25453,2.326404,-39.82636,28.70473,5.345102,-29.62503,2.430842512,40.09600375,88.83973726,1134.006,348.588,-0.1260928,0.5067211,0.8528034,-33.5431,0.6579421,-40.28474,-35.21633,3.711908,-30.80013,2.394138209,40.61576171,89.32609216
0.02000046,,0.05585015,0.08694714,-0.2617019,-0.003716733,-0.003468898,0.04522616,-0.9859486,-12.04752,9.165649,1106.97,344.3906,63.83115768,63.92511749,-0.1217602,0.5175391,0.846952,-1.900039,1.397363,-39.59156,1082.463,345.4217,-0.1211893,0.5121884,0.8502425,30.24367,2.321906,-39.78572,28.70184,5.430918,-29.6662,2.467137203,40.05584097,88.79930391,1131.477,343.3594,-0.1230761,0.5170703,0.8470189,-33.55782,0.6529599,-40.27899,-35.19225,3.796079,-30.8035,2.396538713,40.61092058,89.32074832
0.02999878,,-0.07571837,0.05822241,-0.1823555,0.001592446,-0.001405559,0.05588293,-0.9436563,-12.04214,9.16098,1104.242,342.2767,63.83545303,63.98057175,-0.1188838,0.5199524,0.8458819,-1.904909,1.406585,-39.59416,1078.064,343.2231,-0.1172193,0.5167238,0.8480762,30.23334,2.317962,-39.74645,28.74794,5.47421,-29.59905,2.454642949,40.017027,88.76023166,1130.42,341.3302,-0.1218428,0.5210428,0.84478,-33.57227,0.6488189,-40.27444,-35.20081,3.841163,-30.78393,2.398526192,40.60723768,89.31659082
0.04000092,,-0.07571837,0.05822241,-0.1823555,0.001592446,-0.001405559,0.05588293,-0.9436563,-12.04214,9.16098,1104.242,342.2767,63.83545303,63.98057175,-0.1188838,0.5199524,0.8458819,-1.904909,1.406585,-39.59416,1078.064,343.2231,-0.1172193,0.5167238,0.8480762,30.23334,2.317962,-39.74645,28.74794,5.47421,-29.59905,2.454642949,40.017027,88.76023166,1130.42,341.3302,-0.1218428,0.5210428,0.84478,-33.57227,0.6488189,-40.27444,-35.20081,3.841163,-30.78393,2.398526192,40.60723768,89.31659082
0.04999924,,-0.05390016,0.06708195,-0.1158105,0.01109244,0.007094441,0.05588293,-0.9028443,-12.04553,9.161652,1098.933,338.3584,63.83934784,63.97262955,-0.1133144,0.5285804,0.8412863,-1.907951,1.411125,-39.56014,1072.818,338.5136,-0.1122008,0.5260162,0.8430178,30.22328,2.313948,-39.70633,28.8002,5.537558,-29.59757,2.443395499,39.97735629,88.72030489,1125.049,338.2033,-0.1169137,0.5272631,0.8416076,-33.58606,0.6456058,-40.26953,-35.14076,3.908744,-30.78,2.411571286,40.60312506,89.31204199
0.06000137,,-0.05282633,-0.002687456,-0.07662041,0.006868228,0.01558467,0.0547714,-0.8561625,-12.05829,9.168549,1093.548,336.2852,63.84301376,63.96307755,-0.1086521,0.5318649,0.83983,-1.897308,1.430338,-39.54568,1067.551,336.4113,-0.107575,0.5302513,0.8409771,30.21425,2.310981,-39.66835,28.85803,5.58178,-29.58996,2.457585895,39.93978103,88.68250009,1119.544,336.1591,-0.1120899,0.5313857,0.8396724,-33.59863,0.6436293,-40.26329,-35.07267,3.942416,-30.79582,2.400801683,40.59756447,89.30610436
0.06999969,,-0.04925498,-0.08416732,-0.2537045,0.007922716,0.01670666,0.06009734,-0.819999,-12.05875,9.182068,1093.548,336.2852,63.84301376,63.96307755,-0.1086521,0.5318649,0.83983,-1.897308,1.430338,-39.54568,1067.551,336.4113,-0.107575,0.5302513,0.8409771,30.21425,2.310981,-39.66835,28.85803,5.58178,-29.58996,2.457585895,39.93978103,88.68250009,1119.544,336.1591,-0.1120899,0.5313857,0.8396724,-33.59863,0.6436293,-40.26329,-35.07267,3.942416,-30.79582,2.400801683,40.59756447,89.30610436
0.08000183,,-0.04925498,-0.08416732,-0.2537045,0.007922716,0.01670666,0.06009734,-0.819999,-12.05875,9.182068,1093.548,336.2852,63.84301376,63.96307755,-0.1086521,0.5318649,0.83983,-1.897308,1.430338,-39.54568,1067.551,336.4113,-0.107575,0.5302513,0.8409771,30.21425,2.310981,-39.66835,28.85803,5.58178,-29.58996,2.457585895,39.93978103,88.68250009,1119.544,336.1591,-0.1120899,0.5313857,0.8396724,-33.59863,0.6436293,-40.26329,-35.07267,3.942416,-30.79582,2.400801683,40.59756447,89.30610436
0.09000015,,0.04500931,-0.177012,-0.08124574,0.02069244,0.02309444,0.03668293,-0.7787701,-12.0665,9.195404,1088.249,334.9558,63.84656143,63.92357254,-0.1041889,0.5342425,0.838886,-1.892047,1.445657,-39.53451,1064.034,334.3602,-0.1044101,0.5342569,0.8388425,30.20597,2.308816,-39.63146,28.88925,5.636495,-29.55082,2.44316559,39.9032662,88.64577475,1112.465,335.5515,-0.1062253,0.5328569,0.8395043,-33.61033,0.6426295,-40.25704,-35.00074,3.967791,-30.77882,2.404398657,40.59191852,89.30012758
0.09999847,,-0.01015354,-0.1606088,-0.01284709,0.007868223,0.02838467,0.0206714,-0.7693314,-12.08243,9.211823,1084.943,336.0352,63.84953308,63.98035812,-0.1021484,0.5312062,0.8410622,-1.888862,1.458217,-39.54866,1058.452,333.8702,-0.09976615,0.535414,0.8386719,30.19808,2.30728,-39.5979,28.94182,5.659193,-29.55048,2.484942454,39.87005469,88.61236513,1111.435,338.2002,-0.1058068,0.5279076,0.8426787,-33.62111,0.6424146,-40.25104,-35.00457,3.941678,-30.73195,2.407858162,40.58643986,89.29436153
