TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.1400032,,-0.01915885,0.1497639,0.07282414,-0.004726719,0.001831959,0.003795706,-0.01385862,-2.291962,2.420044,1001.137,609.9726,64.43404388,63.87998962,-0.04027119,-0.1345253,0.9900915,-1.115058,9.349779,-26.75482,991.2047,617.5915,-0.05172883,-0.1470539,0.9877743,31.07912,8.981092,Infinity,30.3851,7.909096,-15.93312,1.62014533,1.82E+59,1.82E+59,1011.07,602.3537,-0.02871614,-0.1214832,0.9921776,-33.32479,9.700325,Infinity,-33.46308,9.01783,-17.61628,1.685278638,Infinity,Infinity
0.1500015,,0.0544499,0.04852284,-0.05258447,-0.002526715,0.007131959,0.002795706,-0.01152847,-2.29071,2.419464,1001.333,610.9175,64.43564606,63.9010582,-0.04047342,-0.1363264,0.9898369,-1.114518,9.34578,-26.74804,990.4689,620.1105,-0.05097853,-0.15136,0.9871607,31.08045,8.985505,Infinity,30.39225,7.864305,-15.93151,1.607514795,1.73E+59,1.73E+59,1012.196,601.7246,-0.02983055,-0.1203893,0.9922781,-33.32529,9.69642,Infinity,-33.47633,9.027992,-17.60355,1.683299331,Infinity,Infinity
0.1599998,,0.09527197,0.1070159,0.1065777,0.004842751,0.01246031,-0.002598158,-0.01097802,-2.288086,2.423187,1000.46,610.9745,64.43753815,63.8855629,-0.03935337,-0.1360374,0.9899218,-1.114563,9.332558,-26.75216,990.2501,618.3271,-0.05078665,-0.1482922,0.9876369,31.0819,8.98845,Infinity,30.39776,7.876224,-15.92449,1.612718326,1.64E+59,1.64E+59,1010.67,603.6221,-0.02831237,-0.1236686,0.9919178,-33.32595,9.692635,Infinity,-33.45633,8.985537,-17.59476,1.662934943,Infinity,Infinity
0.170002,,0.02333468,0.1207289,-0.04870151,0.000542752,0.006160309,-0.003598158,-0.01434575,-2.290649,2.429077,1001.242,609.0249,64.43942261,63.8824234,-0.04055341,-0.1318202,0.9904438,-1.112941,9.335881,-26.74489,991.5627,616.7219,-0.05209454,-0.1455346,0.9879792,31.0834,8.99126,Infinity,30.38474,7.897218,-15.91805,1.61729843,1.56E+59,1.56E+59,1010.922,601.3279,-0.02857778,-0.1197116,0.992395,-33.32655,9.689359,Infinity,-33.46569,9.045728,-17.58171,1.691976174,Infinity,Infinity
0.1800003,,0.02333468,0.1207289,-0.04870151,0.000542752,0.006160309,-0.003598158,-0.01434575,-2.290649,2.429077,1001.242,609.0249,64.43942261,63.8824234,-0.04055341,-0.1318202,0.9904438,-1.112941,9.335881,-26.74489,991.5627,616.7219,-0.05209454,-0.1455346,0.9879792,31.0834,8.99126,Infinity,30.38474,7.897218,-15.91805,1.61729843,1.56E+59,1.56E+59,1010.922,601.3279,-0.02857778,-0.1197116,0.992395,-33.32655,9.689359,Infinity,-33.46569,9.045728,-17.58171,1.691976174,Infinity,Infinity
0.1900024,,-0.04422754,0.0471384,0.1342435,0.004812211,0.00508866,-0.000392024,-0.01633043,-2.292267,2.433472,998.7592,612.3221,64.44143677,63.91549683,-0.03726829,-0.1397508,0.9894851,-1.115432,9.333737,-26.73885,987.7617,620.8693,-0.04832065,-0.1526334,0.9870923,31.08482,8.993458,Infinity,30.43179,7.816072,-15.93877,1.567491433,1.48E+59,1.48E+59,1009.757,603.775,-0.02741033,-0.1239474,0.9919072,-33.32735,9.686502,Infinity,-33.45191,8.992055,-17.57605,1.669436714,Infinity,Infinity
0.2000008,,0.02169306,0.03748571,0.1443516,0.006899998,0.0062,0.00061043,-0.01742362,-2.296295,2.436279,998.7592,612.3221,64.44143677,63.91549683,-0.03726829,-0.1397508,0.9894851,-1.115432,9.333737,-26.73885,987.7617,620.8693,-0.04832065,-0.1526334,0.9870923,31.08482,8.993458,Infinity,30.43179,7.816072,-15.93877,1.567491433,1.48E+59,1.48E+59,1009.757,603.775,-0.02741033,-0.1239474,0.9919072,-33.32735,9.686502,Infinity,-33.45191,8.992055,-17.57605,1.669436714,Infinity,Infinity
0.2100029,,-0.01832622,0.09030781,0.01923636,0.008073278,0.002931959,-0.004704294,-0.0190577,-2.301208,2.440308,1000.257,610.1312,64.4437027,63.9128418,-0.03974743,-0.133615,0.9902359,-1.115885,9.325991,-26.74372,989.5383,616.525,-0.05011277,-0.1451779,0.9881264,31.08632,8.994542,Infinity,30.40726,7.880651,-15.92665,1.604409555,1.41E+59,1.41E+59,1010.975,603.7373,-0.02860691,-0.1238853,0.9918833,-33.32832,9.684019,Infinity,-33.47459,9.007098,-17.56717,1.675654305,Infinity,Infinity
0.2200012,,-0.01370794,0.006692669,0.08263583,0.003773279,0.001831959,-0.000404295,-0.0190577,-2.301208,2.440308,1000.257,610.1312,64.4437027,63.9128418,-0.03974743,-0.133615,0.9902359,-1.115885,9.325991,-26.74372,989.5383,616.525,-0.05011277,-0.1451779,0.9881264,31.08632,8.994542,Infinity,30.40726,7.880651,-15.92665,1.604409555,1.41E+59,1.41E+59,1010.975,603.7373,-0.02860691,-0.1238853,0.9918833,-33.32832,9.684019,Infinity,-33.47459,9.007098,-17.56717,1.675654305,Infinity,Infinity
0.2300034,,0.06295291,0.1059015,0.06547447,0.01014275,0.001860309,-0.01109816,-0.02350485,-2.304688,2.442047,1000.172,610.2112,64.44569397,63.91304779,-0.03927066,-0.1347192,0.9901053,-1.116143,9.317704,-26.74794,989.3301,617.1645,-0.04990048,-0.1462632,0.9879844,31.08768,8.995166,Infinity,30.40996,7.845106,-15.92505,1.591065091,1.34E+59,1.34E+59,1011.015,603.2579,-0.02864973,-0.1230516,0.9919864,-33.32919,9.681239,Infinity,-33.47158,9.008202,-17.56016,1.681407647,Infinity,Infinity
