TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.01000023,20,-0.1411014,-0.2246515,0.1016717,0.08380809,-0.08870637,-0.000690318,1.293243,-11.64035,83.06567,840.7133,274.3923,63.91212082,64.01287842,0.09280577,0.6359376,0.76614,-3.956088,-1.292499,-38.80276,811.3955,268.2401,0.09516549,0.6434578,0.7595282,27.66294,-0.9118943,-37.06428,29.13979,3.728076,-28.84286,2.285796332,37.7009141,86.2369391,870.0312,280.5446,0.08871809,0.6267462,0.7741517,-36.16783,-1.777044,-39.96404,-34.83527,2.232544,-30.45659,2.31289895,40.69306915,89.18610504
0.02000046,,0.01381485,-0.2693979,0.309938,0.08383232,-0.0928966,-0.009178789,1.301971,-11.65561,83.02649,840.7133,274.3923,63.91212082,64.01287842,0.09280577,0.6359376,0.76614,-3.956088,-1.292499,-38.80276,811.3955,268.2401,0.09516549,0.6434578,0.7595282,27.66294,-0.9118943,-37.06428,29.13979,3.728076,-28.84286,2.285796332,37.7009141,86.2369391,870.0312,280.5446,0.08871809,0.6267462,0.7741517,-36.16783,-1.777044,-39.96404,-34.83527,2.232544,-30.45659,2.31289895,40.69306915,89.18610504
0.03000069,,-0.05636398,-0.3263081,0.2826098,0.0699081,-0.1057064,-0.04009032,1.287354,-11.70163,82.95599,837.8199,275.4347,63.91299438,64.04562378,0.09476244,0.6329134,0.7684014,-3.828321,-1.059244,-39.06611,806.2172,268.9615,0.09906173,0.6420339,0.7602436,27.68554,-0.8843272,-37.11697,29.31237,3.96056,-29.01455,2.30044093,37.7479855,86.28730863,869.4227,281.9079,0.08927714,0.6245072,0.7758973,-36.14801,-1.776088,-39.96654,-34.6946,2.468642,-30.66508,2.295274281,40.69329045,89.18757469
0.04000092,,-0.08896108,-0.3582405,0.2999398,0.06564754,-0.1025308,-0.04651913,1.287354,-11.70163,82.95599,837.8199,275.4347,63.91299438,64.04562378,0.09476244,0.6329134,0.7684014,-3.828321,-1.059244,-39.06611,806.2172,268.9615,0.09906173,0.6420339,0.7602436,27.68554,-0.8843272,-37.11697,29.31237,3.96056,-29.01455,2.30044093,37.7479855,86.28730863,869.4227,281.9079,0.08927714,0.6245072,0.7758973,-36.14801,-1.776088,-39.96654,-34.6946,2.468642,-30.66508,2.295274281,40.69329045,89.18757469
0.05000114,,0.1663683,-0.1909301,0.1293872,0.03471728,-0.121743,-0.07423354,1.238525,-11.72968,82.87,831.9373,275.0642,63.91294098,64.04636383,0.09960297,0.6334494,0.7673468,-3.701222,-0.8267735,-39.36334,799.2323,271.1074,0.1045373,0.6384923,0.7624866,27.71282,-0.8469067,-37.17862,29.50609,4.181557,-29.16444,2.303583483,37.80254671,86.34601325,864.6422,279.0209,0.09246391,0.6282797,0.772467,-36.12229,-1.763165,-39.98705,-34.49909,2.788154,-30.98977,2.312782273,40.70936342,89.20611927
0.06000137,,0.1213022,0.06652411,-0.170426,0.008232318,-0.1290966,-0.08267879,1.154205,-11.71835,82.71439,826.0962,271.341,63.91180038,64.00488281,0.1031146,0.6393721,0.7619519,-3.578031,-0.5986589,-39.60635,793.3765,263.7747,0.1075237,0.648133,0.753867,27.74429,-0.8006104,-37.24702,29.65179,4.504977,-29.45462,2.303205274,37.86260348,86.41092901,858.816,278.9073,0.09678122,0.6279592,0.7722008,-36.09109,-1.738824,-40.021,-34.30951,3.01413,-31.28614,2.263528412,40.736916,89.23724894
0.06999969,,0.1854703,0.1647175,-0.2503037,0.003847554,-0.1153308,-0.07741913,1.107025,-11.69009,82.60962,821.9332,267.7629,63.90914536,64.00767517,0.105236,0.6438884,0.7578477,-3.457122,-0.3626459,-39.85353,787.4459,258.6169,0.110885,0.6546031,0.747775,27.77935,-0.7451651,-37.3212,29.79543,4.768473,-29.71348,2.360093789,37.92728291,86.48112137,856.4205,276.9088,0.09824469,0.6305105,0.7699349,-36.05452,-1.703562,-40.06878,-34.16513,3.267048,-31.65657,2.253002597,40.77643453,89.28139198
0.07999992,,0.2541764,0.1063475,-0.2707392,-0.000382721,-0.110043,-0.06783354,1.107025,-11.69009,82.60962,821.9332,267.7629,63.90914536,64.00767517,0.105236,0.6438884,0.7578477,-3.457122,-0.3626459,-39.85353,787.4459,258.6169,0.110885,0.6546031,0.747775,27.77935,-0.7451651,-37.3212,29.79543,4.768473,-29.71348,2.360093789,37.92728291,86.48112137,856.4205,276.9088,0.09824469,0.6305105,0.7699349,-36.05452,-1.703562,-40.06878,-34.16513,3.267048,-31.65657,2.253002597,40.77643453,89.28139198
0.09000015,,0.1515228,0.02619751,-0.05292983,0.001808092,-0.09400637,-0.06669031,1.096252,-11.6756,82.57495,821.9332,267.7629,63.90914536,64.00767517,0.105236,0.6438884,0.7578477,-3.457122,-0.3626459,-39.85353,787.4459,258.6169,0.110885,0.6546031,0.747775,27.77935,-0.7451651,-37.3212,29.79543,4.768473,-29.71348,2.360093789,37.92728291,86.48112137,856.4205,276.9088,0.09824469,0.6305105,0.7699349,-36.05452,-1.703562,-40.06878,-34.16513,3.267048,-31.65657,2.253002597,40.77643453,89.28139198
0.1000004,,-0.009865008,0.1389675,0.1564227,0.006108098,-0.1089064,-0.06989031,1.070923,-11.67593,82.54105,817.3608,263.9471,63.90540695,63.97234726,0.1079553,0.6487128,0.7533375,-3.327255,-0.1313586,-40.11032,782.7294,252.8804,0.1131946,0.6617061,0.7411482,27.81847,-0.6811686,-37.40254,29.94372,5.067955,-29.96583,2.346722559,37.99802872,86.55800635,851.9922,275.0137,0.1012324,0.6327967,0.7676682,-36.01261,-1.658258,-40.12896,-33.97881,3.525731,-31.96404,2.2911657,40.82667711,89.3372072
