TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.01000023,20,-0.1042686,-0.000565771,-0.08175563,0.000103384,0.06150913,-0.01307998,10.73938,-1.7323,83.39014,961.3306,320.2236,64.12680817,63.67681122,-0.000127179,0.563373,0.8262026,-2.327771,3.271014,-34.55235,965.1556,301.4633,-0.02173325,0.5945346,0.8037704,29.56495,4.131914,-33.34416,29.43766,8.363654,-23.64774,2.511000143,33.68561591,82.38559189,957.5056,338.984,0.02225555,0.5292772,0.8481557,-34.44465,1.680193,-36.334,-34.09388,5.360773,-26.72397,2.323146656,36.68730288,85.38261936
0.02000046,,-0.0790697,0.02035014,-0.2468129,0.003318422,0.06795557,-0.02582522,10.72571,-1.735596,83.40994,961.3306,320.2236,64.12680817,63.67681122,-0.000127179,0.563373,0.8262026,-2.327771,3.271014,-34.55235,965.1556,301.4633,-0.02173325,0.5945346,0.8037704,29.56495,4.131914,-33.34416,29.43766,8.363654,-23.64774,2.511000143,33.68561591,82.38559189,957.5056,338.984,0.02225555,0.5292772,0.8481557,-34.44465,1.680193,-36.334,-34.09388,5.360773,-26.72397,2.323146656,36.68730288,85.38261936
0.03000069,,-0.1022481,-0.06209553,-0.1312664,-0.0117269,0.07529691,-0.02589438,10.69537,-1.743713,83.47946,961.4557,320.8864,64.12811279,63.6510582,-0.000215226,0.5615237,0.8274606,-2.324787,3.261356,-34.55545,965.7852,301.4958,-0.02223445,0.5944861,0.8037972,29.5708,4.151141,-33.31966,29.42433,8.368757,-23.59411,2.517538599,33.66163683,82.36128862,957.1262,340.2768,0.02259566,0.5268117,0.8496801,-34.439,1.696497,-36.33013,-34.07706,5.326594,-26.72077,2.310594378,36.68258416,85.37838414
0.04000092,,-0.1022481,-0.06209553,-0.1312664,-0.0117269,0.07529691,-0.02589438,10.69537,-1.743713,83.47946,961.4557,320.8864,64.12811279,63.6510582,-0.000215226,0.5615237,0.8274606,-2.324787,3.261356,-34.55545,965.7852,301.4958,-0.02223445,0.5944861,0.8037972,29.5708,4.151141,-33.31966,29.42433,8.368757,-23.59411,2.517538599,33.66163683,82.36128862,957.1262,340.2768,0.02259566,0.5268117,0.8496801,-34.439,1.696497,-36.33013,-34.07706,5.326594,-26.72077,2.310594378,36.68258416,85.37838414
0.05000019,,-0.0264865,-0.001999677,-0.08273763,-0.02223608,0.07753357,-0.03435116,10.66974,-1.742065,83.5365,960.8816,321.3209,64.12945557,63.68193817,0.000376413,0.5608913,0.8278894,-2.314981,3.251611,-34.56673,963.9629,302.456,-0.02080734,0.5929444,0.8049734,29.57681,4.169495,-33.29578,29.45577,8.353192,-23.577,2.493614039,33.63823628,82.33758655,957.8004,340.1858,0.02202207,0.5270015,0.8495786,-34.43309,1.710922,-36.32819,-34.07507,5.317845,-26.74076,2.309335873,36.67983023,85.3760952
0.06000042,,0.02757281,0.1463715,0.07915689,-0.02541185,0.06574335,-0.02903963,10.63422,-1.727844,83.60071,959.9681,320.7571,64.13030243,63.66769791,0.001187493,0.5622923,0.8269377,-2.300524,3.253633,-34.63687,963.0464,301.6417,-0.02006744,0.5942537,0.8040265,29.58302,4.187836,-33.27691,29.47015,8.417606,-23.59029,2.515692315,33.61982232,82.31888432,956.89,339.8724,0.022769,0.5275884,0.8491948,-34.42654,1.723924,-36.32956,-34.04276,5.32241,-26.76916,2.306679455,36.6803642,85.37710449
0.07000065,,-0.01688857,0.3411351,0.03816866,-0.01791185,0.05084335,-0.008739631,10.61185,-1.712189,83.63846,959.1569,320.7431,64.13063812,63.7053299,0.001805094,0.5620427,0.8271062,-2.288618,3.254517,-34.69584,960.4249,301.2713,-0.01797992,0.5948462,0.8036375,29.58931,4.206103,-33.26321,29.50453,8.470094,-23.59896,2.563386007,33.60657953,82.30536482,957.8888,340.2149,0.02192817,0.5269447,0.8496164,-34.41951,1.73552,-36.33251,-34.04108,5.298601,-26.80291,2.321547918,36.68249058,85.37970496
0.08000088,,-0.01688857,0.3411351,0.03816866,-0.01791185,0.05084335,-0.008739631,10.61185,-1.712189,83.63846,959.1569,320.7431,64.13063812,63.7053299,0.001805094,0.5620427,0.8271062,-2.288618,3.254517,-34.69584,960.4249,301.2713,-0.01797992,0.5948462,0.8036375,29.58931,4.206103,-33.26321,29.50453,8.470094,-23.59896,2.563386007,33.60657953,82.30536482,957.8888,340.2149,0.02192817,0.5269447,0.8496164,-34.41951,1.73552,-36.33251,-34.04108,5.298601,-26.80291,2.321547918,36.68249058,85.37970496
0.09000015,,-0.03172618,0.2510136,-0.02706679,-0.01059662,0.02740913,0.01462002,10.61484,-1.703888,83.65744,959.1569,320.7431,64.13063812,63.7053299,0.001805094,0.5620427,0.8271062,-2.288618,3.254517,-34.69584,960.4249,301.2713,-0.01797992,0.5948462,0.8036375,29.58931,4.206103,-33.26321,29.50453,8.470094,-23.59896,2.563386007,33.60657953,82.30536482,957.8888,340.2149,0.02192817,0.5269447,0.8496164,-34.41951,1.73552,-36.33251,-34.04108,5.298601,-26.80291,2.321547918,36.68249058,85.37970496
0.1000004,,-0.07424471,-0.01443644,-0.153788,-0.005326897,0.03169691,0.02310561,10.62671,-1.699829,83.66699,960.2058,319.7032,64.12998199,63.68278122,0.000566026,0.5643752,0.8255182,-2.28463,3.25551,-34.73152,961.3384,301.5112,-0.01870935,0.5944202,0.8039366,29.59501,4.224357,-33.25304,29.48283,8.475218,-23.67039,2.544679159,33.59689634,82.2953853,959.0732,337.8952,0.02088504,0.5313767,0.846874,-34.41217,1.745736,-36.33605,-34.04051,5.31212,-26.87615,2.318628635,36.68521675,85.38289637
